block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146244.343750,263239823,0.090982,2.268718,2.268757,0.090984,26257,0.030440,5341,0.005006,347910.000000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163445,13952.000000,0.051695,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146262.859375,263273155,0.090971,2.268430,2.268470,0.090973,26257,0.030528,5341,0.005045,347910.000000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163298,13952.000000,0.051688,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146322.375000,263380282,0.090934,2.267508,2.267547,0.090936,26257,0.030525,5341,0.005027,347910.000000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.162825,13952.000000,0.051667,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146319.000000,263374191,0.090936,2.267560,2.267599,0.090938,26257,0.030601,5341,0.005070,347910.000000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.162851,13952.000000,0.051668,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146243.906250,263239020,0.090983,2.268724,2.268764,0.090984,26257,0.030399,5341,0.004841,347910.000000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163448,13952.000000,0.051695,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146246.781250,263244211,0.090981,2.268680,2.268719,0.090983,26257,0.030559,5341,0.004887,347910.000000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163426,13952.000000,0.051694,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146214.437500,263185979,0.091001,2.269182,2.269221,0.091003,26257,0.030405,5341,0.004810,347910.000000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163683,13952.000000,0.051705,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146222.937500,263201301,0.090996,2.269050,2.269089,0.090997,26257,0.030521,5341,0.004849,347910.000000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163615,13952.000000,0.051702,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146200.359375,263160639,0.091010,2.269400,2.269439,0.091011,26257,0.030627,5341,0.004825,347910.000000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163795,13952.000000,0.051710,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146217.781250,263192005,0.090999,2.269130,2.269169,0.091001,26257,0.030877,5341,0.004865,347910.000000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163656,13952.000000,0.051704,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146172.531250,263110545,0.091027,2.269832,2.269871,0.091029,26257,0.030620,5341,0.004867,347910.000000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.164016,13952.000000,0.051720,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146217.046875,263190686,0.090999,2.269141,2.269180,0.091001,26257,0.030768,5341,0.004902,347910.000000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163662,13952.000000,0.051704,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146215.781250,263188418,0.091000,2.269161,2.269200,0.091002,26257,0.030610,5341,0.005004,347910.000000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163672,13952.000000,0.051705,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146238.968750,263230140,0.090986,2.268801,2.268840,0.090987,26257,0.030783,5341,0.005043,347910.000000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163488,13952.000000,0.051696,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146228.343750,263211029,0.090992,2.268966,2.269005,0.090994,26257,0.030787,5341,0.004918,347910.000000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163572,13952.000000,0.051700,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146292.125000,263325829,0.090953,2.267977,2.268016,0.090954,26257,0.031029,5341,0.004960,347910.000000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163065,13952.000000,0.051678,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.379444,2483,0.000000,0.000000,1.555530,0.172837,1,0.000805,1,0.000805,2.250000,0.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.110556,1999,0.000000,0.000000,1.932157,0.214684,1,0.000500,1,0.000500,2.250000,0.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.152222,2074,0.000000,0.000000,1.862286,0.206921,1,0.000482,1,0.000482,2.250000,0.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.445556,2602,0.000000,0.000000,1.484389,0.164932,1,0.000384,1,0.000384,2.250000,0.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.608333,2895,0.000000,0.000000,1.334156,0.148240,1,0.000691,1,0.000691,2.250000,0.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.697778,3056,0.000000,0.000000,1.263868,0.140430,1,0.000654,1,0.000654,2.250000,0.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.738889,3130,0.000000,0.000000,1.233988,0.137110,1,0.000319,1,0.000319,2.250000,0.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.750556,3151,0.000000,0.000000,1.225764,0.136196,1,0.000317,1,0.000317,2.250000,0.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
