block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,146244.343750,263239823,0.019429,0.019191,0.000238,0.000000,0.000000,0.200432,0.000000,0.000000,0.094974,
1,vector0,NA,NA,NA,NA,NA,NA,146262.859375,263273155,0.019433,0.019195,0.000238,0.000000,0.000000,0.200406,0.000000,0.000000,0.094962,
2,vector0,NA,NA,NA,NA,NA,NA,146322.375000,263380282,0.019427,0.019189,0.000238,0.000000,0.000000,0.200325,0.000000,0.000000,0.094923,
3,vector0,NA,NA,NA,NA,NA,NA,146319.000000,263374191,0.019422,0.019185,0.000238,0.000000,0.000000,0.200329,0.000000,0.000000,0.094926,
4,vector0,NA,NA,NA,NA,NA,NA,146243.906250,263239020,0.019432,0.019194,0.000238,0.000000,0.000000,0.200432,0.000000,0.000000,0.094974,
5,vector0,NA,NA,NA,NA,NA,NA,146246.781250,263244211,0.019434,0.019197,0.000238,0.000000,0.000000,0.200428,0.000000,0.000000,0.094972,
6,vector0,NA,NA,NA,NA,NA,NA,146214.437500,263185979,0.019433,0.019195,0.000238,0.000000,0.000000,0.200473,0.000000,0.000000,0.094994,
7,vector0,NA,NA,NA,NA,NA,NA,146222.937500,263201301,0.019439,0.019202,0.000238,0.000000,0.000000,0.200461,0.000000,0.000000,0.094988,
8,vector0,NA,NA,NA,NA,NA,NA,146200.359375,263160639,0.019439,0.019202,0.000238,0.000000,0.000000,0.200492,0.000000,0.000000,0.095003,
9,vector0,NA,NA,NA,NA,NA,NA,146217.781250,263192005,0.019430,0.019193,0.000238,0.000000,0.000000,0.200468,0.000000,0.000000,0.094991,
10,vector0,NA,NA,NA,NA,NA,NA,146172.531250,263110545,0.019440,0.019203,0.000238,0.000000,0.000000,0.200530,0.000000,0.000000,0.095021,
11,vector0,NA,NA,NA,NA,NA,NA,146217.046875,263190686,0.019434,0.019196,0.000238,0.000000,0.000000,0.200469,0.000000,0.000000,0.094992,
12,vector0,NA,NA,NA,NA,NA,NA,146215.781250,263188418,0.019439,0.019201,0.000238,0.000000,0.000000,0.200471,0.000000,0.000000,0.094993,
13,vector0,NA,NA,NA,NA,NA,NA,146238.968750,263230140,0.019428,0.019190,0.000238,0.000000,0.000000,0.200439,0.000000,0.000000,0.094978,
14,vector0,NA,NA,NA,NA,NA,NA,146228.343750,263211029,0.019432,0.019194,0.000238,0.000000,0.000000,0.200454,0.000000,0.000000,0.094984,
15,vector0,NA,NA,NA,NA,NA,NA,146292.125000,263325829,0.019428,0.019190,0.000238,0.000000,0.000000,0.200366,0.000000,0.000000,0.094943,
16,vector0,NA,NA,NA,NA,NA,NA,1.379444,2483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,1.110556,1999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,1.152222,2074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,1.445556,2602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,1.608333,2895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
21,vector0,NA,NA,NA,NA,NA,NA,1.697778,3056,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
22,vector0,NA,NA,NA,NA,NA,NA,1.738889,3130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
23,vector0,NA,NA,NA,NA,NA,NA,1.750556,3151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
