block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,1355.582275,2440048,0.037817,0.037817,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1355.051636,2439093,0.452035,0.250958,0.013942,0.000000,0.000000,0.173193,17177728,
1,cube0,1368.500610,2463301,0.038458,0.038458,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1368.028320,2462451,0.453274,0.251645,0.013980,0.000000,0.000000,0.173667,17177728,
2,cube0,1366.507202,2459713,0.038372,0.038372,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1365.995605,2458792,0.460270,0.255530,0.014196,0.000000,0.000000,0.176348,17177728,
3,cube0,1372.312256,2470162,0.038291,0.038291,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1371.747803,2469146,0.461338,0.256123,0.014229,0.000000,0.000000,0.176757,17177728,
4,cube0,1374.817261,2474671,0.038733,0.038733,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1374.379395,2473883,0.463376,0.257254,0.014292,0.000000,0.000000,0.177538,17177728,
5,cube0,1355.810059,2440458,0.038076,0.038076,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
