block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,1355.582275,2440048,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,1355.051636,2439093,50.849480,35.135338,0.054899,0.059831,
1,cube0,1368.500610,2463301,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,1368.028320,2462451,50.849480,35.135338,0.054899,0.059831,
2,cube0,1366.507202,2459713,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,1365.995605,2458792,50.849480,35.135338,0.054899,0.059831,
3,cube0,1372.312256,2470162,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,1371.747803,2469146,50.849480,35.135338,0.054899,0.059831,
4,cube0,1374.817261,2474671,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,1374.379395,2473883,50.849480,35.135338,0.054899,0.059831,
5,cube0,1355.810059,2440458,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,1355.232178,2439418,50.849480,35.135338,0.054899,0.059831,
6,cube0,1359.963867,2447935,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,1359.517212,2447131,50.849480,35.135338,0.054899,0.059831,
7,cube0,1377.321167,2479178,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,1376.734985,2478123,50.849480,35.135338,0.054899,0.059831,
8,cube0,1387.153320,2496876,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,1386.579468,2495843,50.849480,35.135338,0.054899,0.059831,
9,cube0,1375.427246,2475769,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,1374.950562,2474911,50.849480,35.135338,0.054899,0.059831,
10,cube0,1382.152222,2487874,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,1381.637207,2486947,50.849480,35.135338,0.054899,0.059831,
11,cube0,1368.911621,2464041,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,1368.515015,2463327,50.849480,35.135338,0.054899,0.059831,
12,cube0,1353.270508,2435887,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,1352.781616,2435007,50.849480,35.135338,0.054899,0.059831,
13,cube0,1358.609497,2445497,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,1358.204468,2444768,50.849480,35.135338,0.054899,0.059831,
14,cube0,1360.515015,2448927,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,1359.981079,2447966,50.849480,35.135338,0.054899,0.059831,
15,cube0,1349.751709,2429553,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,1349.188354,2428539,50.849480,35.135338,0.054899,0.059831,
16,cube0,15.382778,27689,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,13.011666,23421,0.000000,0.000000,0.000000,0.000000,
17,cube0,18.646111,33563,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,13.430000,24174,0.000000,0.000000,0.000000,0.000000,
18,cube0,20.403889,36727,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,14.752222,26554,0.000000,0.000000,0.000000,0.000000,
19,cube0,20.219999,36396,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,14.310000,25758,0.000000,0.000000,0.000000,0.000000,
20,cube0,16.539444,29771,NA,NA,NA,NA,NA,NA,
20,vector0,NA,NA,13.876667,24978,0.000000,0.000000,0.000000,0.000000,
21,cube0,18.523333,33342,NA,NA,NA,NA,NA,NA,
21,vector0,NA,NA,13.385000,24093,0.000000,0.000000,0.000000,0.000000,
22,cube0,19.268333,34683,NA,NA,NA,NA,NA,NA,
22,vector0,NA,NA,13.673333,24612,0.000000,0.000000,0.000000,0.000000,
23,cube0,19.926111,35867,NA,NA,NA,NA,NA,NA,
23,vector0,NA,NA,15.204445,27368,0.000000,0.000000,0.000000,0.000000,
