block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,1104.762817,1988573,14724,801,24873,5266,24870,5248,94.840576,82.551407,85.069016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1104.224976,1987605,6922,5760,45108,15393,45140,15329,54.581295,74.603622,72.703735,
1,cube0,1107.276123,1993097,14723,801,25129,5248,25028,5257,94.840248,82.682732,85.160004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1106.802246,1992244,6921,5761,45110,15349,45138,15373,54.573410,74.603622,72.702988,
2,cube0,1104.390503,1987903,14725,800,25082,5276,25204,5226,94.847023,82.723564,85.189941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1103.796143,1986833,6922,5760,45082,15361,45166,15361,54.581295,74.603622,72.703735,
3,cube0,1105.582764,1990049,14724,801,25253,5244,25112,5255,94.840576,82.750069,85.207291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1105.037720,1989068,6922,5760,45117,15365,45131,15357,54.581295,74.603622,72.703735,
4,cube0,1103.360596,1986049,14725,800,25323,5223,25298,5279,94.847023,82.818253,85.254669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1102.719482,1984895,6921,5761,45235,15332,45013,15390,54.573410,74.603622,72.702988,
5,cube0,1114.810059,2006658,14725,800,25250,5254,25389,5247,94.847023,82.824661,85.259247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114.286621,2005716,6922,5760,45076,15362,45172,15360,54.581295,74.603622,72.703735,
6,cube0,1103.271118,1985888,14725,800,25216,5242,25227,5260,94.847023,82.768066,85.220345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1102.630615,1984735,6921,5761,45076,15346,45171,15377,54.573410,74.602791,72.702240,
7,cube0,1114.592163,2006266,14724,801,25280,5219,25338,5283,94.840576,82.817406,85.252792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114.057739,2005304,6921,5761,45164,15318,45084,15404,54.573410,74.603622,72.702988,
8,cube0,1099.261719,1978671,14724,801,25163,5246,25153,5254,94.840576,82.734810,85.196686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1098.561157,1977410,6922,5760,45156,15349,45092,15373,54.581295,74.603622,72.703735,
9,cube0,1099.262817,1978673,14725,800,25197,5233,25166,5266,94.847023,82.749496,85.208214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1098.617798,1977512,6922,5760,45140,15341,45108,15381,54.581295,74.603622,72.703735,
10,cube0,1096.636108,1973945,14724,801,25229,5258,25243,5242,94.840576,82.778984,85.226875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096.088867,1972960,6922,5760,45170,15337,45078,15385,54.581295,74.603622,72.703735,
11,cube0,1103.676636,1986618,14725,800,25105,5248,25100,5253,94.847023,82.701874,85.175323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1103.100586,1985581,6922,5760,45140,15389,45108,15333,54.581295,74.603622,72.703735,
12,cube0,1101.864502,1983356,14724,801,25233,5262,25257,5238,94.840576,82.784065,85.230347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1101.349487,1982429,6921,5761,45132,15368,45116,15354,54.573410,74.603622,72.702988,
13,cube0,1102.088379,1983759,14723,802,25370,5269,25406,5233,94.834137,82.861710,85.281822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1101.599487,1982879,6922,5760,45143,15342,45105,15380,54.581295,74.603622,72.703735,
14,cube0,1098.961670,1978131,14725,800,25466,5238,25442,5262,94.847023,82.901253,85.311897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1098.506104,1977311,6922,5760,45147,15385,45101,15337,54.581295,74.603622,72.703735,
15,cube0,1106.109985,1990998,14725,800,25454,5263,25480,5237,94.847023,82.908485,85.316856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1105.603882,1990087,6922,5760,45147,15352,45101,15370,54.581295,74.603622,72.703735,
16,cube0,20.200556,36361,53,32,39,2,39,2,62.352940,95.121948,78.443115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.182777,25529,52,0,28,1,28,1,100.000000,96.551727,98.181816,
17,cube0,20.221111,36398,53,32,40,3,43,1,62.352940,95.402298,79.069771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.460556,26029,52,0,27,1,29,1,100.000000,96.551727,98.181816,
18,cube0,19.701111,35462,53,32,37,1,36,3,62.352940,94.805191,77.777779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.157778,23684,52,0,30,1,25,2,100.000000,94.827583,97.272728,
19,cube0,18.565001,33417,52,33,40,2,40,1,61.176472,96.385544,78.571426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.638333,22749,52,0,27,1,29,1,100.000000,96.551727,98.181816,
20,cube0,19.713333,35484,52,33,44,0,42,2,61.176472,97.727272,79.768784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.697778,24656,52,0,28,0,28,2,100.000000,96.551727,98.181816,
21,cube0,19.828888,35692,53,32,44,0,42,2,62.352940,97.727272,80.346817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.895000,25011,52,0,29,1,27,1,100.000000,96.551727,98.181816,
22,cube0,20.245001,36441,53,32,45,1,44,2,62.352940,96.739128,80.225990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.972777,26951,52,0,29,0,27,2,100.000000,96.551727,98.181816,
23,cube0,20.273890,36493,53,32,44,2,45,0,62.352940,97.802200,80.681816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.404445,27728,52,0,27,1,29,1,100.000000,96.551727,98.181816,
