block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,1104.762817,1988573,8.739404,3.277276,34.957615,4.369702,6.554553,13.109105,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1104.224976,1987605,
1,cube0,1107.276123,1993097,8.739404,3.277276,34.957615,4.369702,6.554553,13.109105,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1106.802246,1992244,
2,cube0,1104.390503,1987903,8.739404,3.277276,34.957615,4.369702,6.554553,13.109105,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1103.796143,1986833,
3,cube0,1105.582764,1990049,8.739404,3.277276,34.957615,4.369702,6.554553,13.109105,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1105.037720,1989068,
4,cube0,1103.360596,1986049,8.739404,3.277276,34.957615,4.369702,6.554553,13.109105,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1102.719482,1984895,
5,cube0,1114.810059,2006658,8.739404,3.277276,34.957615,4.369702,6.554553,13.109105,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1114.286621,2005716,
6,cube0,1103.271118,1985888,8.739404,3.277276,34.957615,4.369702,6.554553,13.109105,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1102.630615,1984735,
7,cube0,1114.592163,2006266,8.739404,3.277276,34.957615,4.369702,6.554553,13.109105,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1114.057739,2005304,
8,cube0,1099.261719,1978671,8.739404,3.277276,34.957615,4.369702,6.554553,13.109105,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1098.561157,1977410,
9,cube0,1099.262817,1978673,8.739404,3.277276,34.957615,4.369702,6.554553,13.109105,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1098.617798,1977512,
10,cube0,1096.636108,1973945,8.739404,3.277276,34.957615,4.369702,6.554553,13.109105,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1096.088867,1972960,
11,cube0,1103.676636,1986618,8.739404,3.277276,34.957615,4.369702,6.554553,13.109105,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1103.100586,1985581,
12,cube0,1101.864502,1983356,8.739404,3.277276,34.957615,4.369702,6.554553,13.109105,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1101.349487,1982429,
13,cube0,1102.088379,1983759,8.739404,3.277276,34.957615,4.369702,6.554553,13.109105,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1101.599487,1982879,
14,cube0,1098.961670,1978131,8.739404,3.277276,34.957615,4.369702,6.554553,13.109105,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1098.506104,1977311,
15,cube0,1106.109985,1990998,8.739404,3.277276,34.957615,4.369702,6.554553,13.109105,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1105.603882,1990087,
16,cube0,20.200556,36361,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.182777,25529,
17,cube0,20.221111,36398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.460556,26029,
18,cube0,19.701111,35462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,13.157778,23684,
19,cube0,18.565001,33417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,12.638333,22749,
20,cube0,19.713333,35484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,13.697778,24656,
21,cube0,19.828888,35692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,13.895000,25011,
22,cube0,20.245001,36441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.972777,26951,
23,cube0,20.273890,36493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,15.404445,27728,
