block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146195.109375,263151199,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146235.843750,263224524,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146191.843750,263145332,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146233.953125,263221119,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146284.765625,263312588,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146316.859375,263370335,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146327.625000,263389713,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146373.265625,263471875,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146248.093750,263246575,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146229.984375,263213962,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146173.843750,263112928,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146168.484375,263103275,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146209.828125,263177698,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146228.078125,263210524,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146215.953125,263188727,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146195.859375,263152558,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.163333,2094,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.792778,3227,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.377222,2479,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.542778,2777,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,0.973889,1753,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.303889,2347,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.703333,3066,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.475000,2655,
