block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,146173.281250,263111921,29.196270,16.664845,0.267756,0.267756,
1,vector0,NA,NA,146171.859375,263109366,29.193865,16.663212,0.267759,0.267759,
2,vector0,NA,NA,146193.406250,263148135,29.195814,16.664927,0.267719,0.267719,
3,vector0,NA,NA,146163.921875,263095080,29.195190,16.663948,0.267773,0.267773,
4,vector0,NA,NA,146223.187500,263201743,29.186069,16.659000,0.267665,0.267665,
5,vector0,NA,NA,146237.843750,263228125,29.190512,16.662243,0.267638,0.267638,
6,vector0,NA,NA,146253.718750,263256685,29.180954,16.656176,0.267609,0.267609,
7,vector0,NA,NA,146237.765625,263227965,29.185329,16.658787,0.267638,0.267638,
8,vector0,NA,NA,146186.546875,263135788,29.190281,16.661110,0.267732,0.267732,
9,vector0,NA,NA,146223.640625,263202560,29.187202,16.659763,0.267664,0.267664,
10,vector0,NA,NA,146199.218750,263158591,29.186462,16.658804,0.267709,0.267709,
11,vector0,NA,NA,146239.390625,263230911,29.185781,16.659119,0.267635,0.267635,
12,vector0,NA,NA,146235.734375,263224325,29.186207,16.659332,0.267642,0.267642,
13,vector0,NA,NA,146246.906250,263244435,29.180201,16.655542,0.267621,0.267621,
14,vector0,NA,NA,146200.812500,263161475,29.193657,16.663630,0.267706,0.267706,
15,vector0,NA,NA,146214.750000,263186543,29.185680,16.658579,0.267680,0.267680,
16,vector0,NA,NA,1.251111,2252,0.000000,0.000000,0.000000,0.000000,
17,vector0,NA,NA,1.474444,2654,0.000000,0.000000,0.000000,0.000000,
18,vector0,NA,NA,1.100556,1981,0.000000,0.000000,0.000000,0.000000,
19,vector0,NA,NA,1.251111,2252,0.000000,0.000000,0.000000,0.000000,
20,vector0,NA,NA,1.294444,2330,0.000000,0.000000,0.000000,0.000000,
21,vector0,NA,NA,1.598889,2878,0.000000,0.000000,0.000000,0.000000,
22,vector0,NA,NA,1.647222,2965,0.000000,0.000000,0.000000,0.000000,
23,vector0,NA,NA,2.129444,3833,0.000000,0.000000,0.000000,0.000000,
