block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146173.281250,263111921,0.091027,2.269821,2.269825,0.091028,26257,0.031116,5341,0.004738,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.164011,13952.000000,0.051720,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146171.859375,263109366,0.091028,2.269843,2.269847,0.091029,26257,0.031040,5341,0.004783,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.164022,13952.000000,0.051720,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146193.406250,263148135,0.091014,2.269508,2.269513,0.091016,26257,0.031010,5341,0.004756,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163850,13952.000000,0.051713,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146163.921875,263095080,0.091032,2.269966,2.269971,0.091034,26257,0.031046,5341,0.004807,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.164085,13952.000000,0.051723,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146223.187500,263201743,0.090996,2.269046,2.269051,0.090997,26257,0.031427,5341,0.004929,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163613,13952.000000,0.051702,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146237.843750,263228125,0.090986,2.268819,2.268823,0.090988,26257,0.031344,5341,0.004976,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163497,13952.000000,0.051697,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146253.718750,263256685,0.090977,2.268572,2.268577,0.090978,26257,0.031251,5341,0.005209,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163370,13952.000000,0.051691,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146237.765625,263227965,0.090987,2.268820,2.268824,0.090988,26257,0.031217,5341,0.005255,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163497,13952.000000,0.051697,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146186.546875,263135788,0.091018,2.269615,2.269619,0.091020,26257,0.030549,5341,0.004920,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163905,13952.000000,0.051715,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146223.640625,263202560,0.090995,2.269039,2.269044,0.090997,26257,0.030860,5341,0.004962,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163610,13952.000000,0.051702,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146199.218750,263158591,0.091011,2.269418,2.269423,0.091012,26257,0.030206,5341,0.004754,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163804,13952.000000,0.051711,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146239.390625,263230911,0.090985,2.268795,2.268799,0.090987,26257,0.030359,5341,0.004798,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163484,13952.000000,0.051696,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146235.734375,263224325,0.090988,2.268851,2.268856,0.090989,26257,0.030371,5341,0.004743,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163514,13952.000000,0.051698,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146246.906250,263244435,0.090981,2.268678,2.268683,0.090982,26257,0.030619,5341,0.004778,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163425,13952.000000,0.051694,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146200.812500,263161475,0.091010,2.269393,2.269398,0.091011,26257,0.030337,5341,0.004734,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163791,13952.000000,0.051710,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146214.750000,263186543,0.091001,2.269177,2.269181,0.091002,26257,0.030713,5341,0.004773,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.163680,13952.000000,0.051705,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.251111,2252,0.000000,0.000000,0.571696,0.190565,1,0.000888,1,0.000888,0.750000,0.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.474444,2654,0.000000,0.000000,0.485102,0.161701,1,0.000377,1,0.000377,0.750000,0.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.100556,1981,0.000000,0.000000,0.649904,0.216635,1,0.000505,1,0.000505,0.750000,0.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.251111,2252,0.000000,0.000000,0.571696,0.190565,1,0.000444,1,0.000444,0.750000,0.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.294444,2330,0.000000,0.000000,0.552558,0.184186,1,0.000858,1,0.000858,0.750000,0.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.598889,2878,0.000000,0.000000,0.447345,0.149115,1,0.000695,1,0.000695,0.750000,0.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.647222,2965,0.000000,0.000000,0.434219,0.144740,1,0.000675,1,0.000675,0.750000,0.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.129444,3833,0.000000,0.000000,0.335888,0.111963,1,0.000522,1,0.000522,0.750000,0.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,0.000000,0.000000,
