block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146173.281250,263111921,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146171.859375,263109366,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146193.406250,263148135,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146163.921875,263095080,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146223.187500,263201743,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146237.843750,263228125,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146253.718750,263256685,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146237.765625,263227965,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146186.546875,263135788,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146223.640625,263202560,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146199.218750,263158591,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146239.390625,263230911,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146235.734375,263224325,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146246.906250,263244435,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146200.812500,263161475,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146214.750000,263186543,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.251111,2252,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.474444,2654,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.100556,1981,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.251111,2252,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.294444,2330,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.598889,2878,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.647222,2965,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.129444,3833,
