block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aic_mte1_active_bw(GB/s),aic_mte2_active_bw(GB/s),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162656.375000,292781469,100305.562500,0.616672,88532.476562,0.544291,5061.047852,0.031115,65.556999,691.009460,0.004248,19.255400,0.000000,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162705.953125,292870732,100300.703125,0.616454,88521.437500,0.544058,5123.627441,0.031490,64.756287,697.559448,0.004287,19.074596,0.000000,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162656.156250,292781078,100298.796875,0.616631,88529.445312,0.544274,5067.788574,0.031156,65.469803,695.885010,0.004278,19.120493,0.000000,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162710.421875,292878758,100296.281250,0.616410,88528.812500,0.544088,5124.208984,0.031493,64.748940,702.203308,0.004316,18.948448,0.000000,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162696.531250,292853760,100283.367188,0.616383,88519.726562,0.544079,5115.810059,0.031444,64.855247,719.803345,0.004424,18.485138,0.000000,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162776.140625,292997059,100295.671875,0.616157,88522.414062,0.543829,5180.937012,0.031829,64.039986,726.221680,0.004461,18.321768,0.000000,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162724.109375,292903385,100287.546875,0.616304,88520.914062,0.543994,5112.837891,0.031420,64.892937,757.805542,0.004657,17.558151,0.000000,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162834.234375,293101647,100329.445312,0.616145,88538.375000,0.543733,5170.208008,0.031751,64.172882,763.800537,0.004691,17.420338,0.000000,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162685.109375,292833182,100324.218750,0.616677,88555.742188,0.544338,5039.115723,0.030975,65.842331,719.561646,0.004423,18.491348,0.000000,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162716.890625,292890406,100344.828125,0.616684,88570.562500,0.544323,5040.611328,0.030978,65.822792,726.343872,0.004464,18.318686,0.000000,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162691.406250,292844539,100384.429688,0.617024,88607.179688,0.544633,4967.718262,0.030535,66.788635,695.126648,0.004273,19.141354,0.000000,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162718.296875,292892937,100384.976562,0.616925,88609.492188,0.544558,4991.983887,0.030679,66.463982,701.562195,0.004312,18.965765,0.000000,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162702.859375,292865143,100375.140625,0.616923,88604.250000,0.544577,4988.950684,0.030663,66.504379,693.072754,0.004260,19.198076,0.000000,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162733.015625,292919418,100413.242188,0.617043,88632.851562,0.544652,4962.986816,0.030498,66.852310,699.617798,0.004299,19.018476,0.000000,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162693.671875,292848597,100362.656250,0.616881,88585.468750,0.544492,5008.118164,0.030783,66.249855,690.883911,0.004247,19.258900,0.000000,NA,NA,
