block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,146173.281250,263111921,0.019440,0.019202,0.000238,0.000000,0.000000,0.200529,0.000000,0.000000,0.095020,
1,vector0,NA,NA,NA,NA,NA,NA,146171.859375,263109366,0.019438,0.019200,0.000238,0.000000,0.000000,0.200531,0.000000,0.000000,0.095021,
2,vector0,NA,NA,NA,NA,NA,NA,146193.406250,263148135,0.019440,0.019202,0.000238,0.000000,0.000000,0.200502,0.000000,0.000000,0.095007,
3,vector0,NA,NA,NA,NA,NA,NA,146163.921875,263095080,0.019439,0.019201,0.000238,0.000000,0.000000,0.200542,0.000000,0.000000,0.095026,
4,vector0,NA,NA,NA,NA,NA,NA,146223.187500,263201743,0.019433,0.019195,0.000238,0.000000,0.000000,0.200461,0.000000,0.000000,0.094988,
5,vector0,NA,NA,NA,NA,NA,NA,146237.843750,263228125,0.019437,0.019199,0.000238,0.000000,0.000000,0.200441,0.000000,0.000000,0.094978,
6,vector0,NA,NA,NA,NA,NA,NA,146253.718750,263256685,0.019430,0.019192,0.000238,0.000000,0.000000,0.200419,0.000000,0.000000,0.094968,
7,vector0,NA,NA,NA,NA,NA,NA,146237.765625,263227965,0.019433,0.019195,0.000238,0.000000,0.000000,0.200441,0.000000,0.000000,0.094978,
8,vector0,NA,NA,NA,NA,NA,NA,146186.546875,263135788,0.019436,0.019198,0.000238,0.000000,0.000000,0.200511,0.000000,0.000000,0.095012,
9,vector0,NA,NA,NA,NA,NA,NA,146223.640625,263202560,0.019434,0.019196,0.000238,0.000000,0.000000,0.200460,0.000000,0.000000,0.094988,
10,vector0,NA,NA,NA,NA,NA,NA,146199.218750,263158591,0.019433,0.019195,0.000238,0.000000,0.000000,0.200494,0.000000,0.000000,0.095003,
11,vector0,NA,NA,NA,NA,NA,NA,146239.390625,263230911,0.019433,0.019196,0.000238,0.000000,0.000000,0.200438,0.000000,0.000000,0.094977,
12,vector0,NA,NA,NA,NA,NA,NA,146235.734375,263224325,0.019434,0.019196,0.000238,0.000000,0.000000,0.200443,0.000000,0.000000,0.094980,
13,vector0,NA,NA,NA,NA,NA,NA,146246.906250,263244435,0.019429,0.019191,0.000238,0.000000,0.000000,0.200428,0.000000,0.000000,0.094972,
14,vector0,NA,NA,NA,NA,NA,NA,146200.812500,263161475,0.019439,0.019201,0.000238,0.000000,0.000000,0.200491,0.000000,0.000000,0.095002,
15,vector0,NA,NA,NA,NA,NA,NA,146214.750000,263186543,0.019433,0.019195,0.000238,0.000000,0.000000,0.200472,0.000000,0.000000,0.094993,
16,vector0,NA,NA,NA,NA,NA,NA,1.251111,2252,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,1.474444,2654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,1.100556,1981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,1.251111,2252,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,1.294444,2330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
21,vector0,NA,NA,NA,NA,NA,NA,1.598889,2878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
22,vector0,NA,NA,NA,NA,NA,NA,1.647222,2965,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
23,vector0,NA,NA,NA,NA,NA,NA,2.129444,3833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
