block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146195.109375,263151199,0.607317,0.337892,0.000270,0.000000,0.000000,0.268884,1147300608,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146235.843750,263224524,0.607191,0.337827,0.000270,0.000000,0.000000,0.268824,1147151616,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146191.843750,263145332,0.607529,0.338016,0.000270,0.000000,0.000000,0.268973,1147124736,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146233.953125,263221119,0.607463,0.337977,0.000270,0.000000,0.000000,0.268946,1147189632,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146284.765625,263312588,0.607286,0.337878,0.000270,0.000000,0.000000,0.268867,1147203072,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146316.859375,263370335,0.607071,0.337756,0.000270,0.000000,0.000000,0.268774,1147270656,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146327.625000,263389713,0.607322,0.337895,0.000270,0.000000,0.000000,0.268886,1147300992,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146373.265625,263471875,0.607145,0.337797,0.000270,0.000000,0.000000,0.268808,1147303296,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146248.093750,263246575,0.607478,0.337988,0.000270,0.000000,0.000000,0.268949,1147090560,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146229.984375,263213962,0.607426,0.337962,0.000270,0.000000,0.000000,0.268923,1146999168,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146173.843750,263112928,0.607348,0.337911,0.000270,0.000000,0.000000,0.268897,1147266048,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146168.484375,263103275,0.607294,0.337881,0.000270,0.000000,0.000000,0.268873,1147246848,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146209.828125,263177698,0.607437,0.337957,0.000270,0.000000,0.000000,0.268939,1147359360,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146228.078125,263210524,0.607408,0.337935,0.000270,0.000000,0.000000,0.268933,1147559808,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146215.953125,263188727,0.607420,0.337955,0.000270,0.000000,0.000000,0.268924,1147122816,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146195.859375,263152558,0.607426,0.337957,0.000270,0.000000,0.000000,0.268929,1147179264,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.163333,2094,0.010984,0.000000,0.000000,0.000000,0.000000,0.010984,128,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.792778,3227,0.008677,0.000000,0.000000,0.000000,0.000000,0.008677,128,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.377222,2479,0.012505,0.000000,0.000000,0.000000,0.000000,0.012505,128,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.542778,2777,0.009723,0.000000,0.000000,0.000000,0.000000,0.009723,128,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.973889,1753,0.010839,0.000000,0.000000,0.000000,0.000000,0.010839,128,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.303889,2347,0.009374,0.000000,0.000000,0.000000,0.000000,0.009374,128,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.703333,3066,0.008480,0.000000,0.000000,0.000000,0.000000,0.008480,128,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.475000,2655,0.008663,0.000000,0.000000,0.000000,0.000000,0.008663,128,
