block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,146195.109375,263151199,29.195738,16.664907,0.267716,0.267716,
1,vector0,NA,NA,146235.843750,263224524,29.183809,16.657736,0.267642,0.267642,
2,vector0,NA,NA,146191.843750,263145332,29.191906,16.662291,0.267722,0.267722,
3,vector0,NA,NA,146233.953125,263221119,29.185154,16.658596,0.267645,0.267645,
4,vector0,NA,NA,146284.765625,263312588,29.175358,16.653038,0.267552,0.267552,
5,vector0,NA,NA,146316.859375,263370335,29.170677,16.650534,0.267493,0.267493,
6,vector0,NA,NA,146327.625000,263389713,29.169308,16.649820,0.267474,0.267474,
7,vector0,NA,NA,146373.265625,263471875,29.160267,16.644670,0.267390,0.267390,
8,vector0,NA,NA,146248.093750,263246575,29.179806,16.655302,0.267619,0.267619,
9,vector0,NA,NA,146229.984375,263213962,29.181095,16.655813,0.267652,0.267652,
10,vector0,NA,NA,146173.843750,263112928,29.199102,16.666746,0.267755,0.267755,
11,vector0,NA,NA,146168.484375,263103275,29.199684,16.667028,0.267765,0.267765,
12,vector0,NA,NA,146209.828125,263177698,29.194292,16.664228,0.267689,0.267689,
13,vector0,NA,NA,146228.078125,263210524,29.195757,16.665552,0.267656,0.267656,
14,vector0,NA,NA,146215.953125,263188727,29.187044,16.659512,0.267678,0.267678,
15,vector0,NA,NA,146195.859375,263152558,29.192495,16.662760,0.267715,0.267715,
16,vector0,NA,NA,1.163333,2094,0.000000,0.000000,0.000000,0.000000,
17,vector0,NA,NA,1.792778,3227,0.000000,0.000000,0.000000,0.000000,
18,vector0,NA,NA,1.377222,2479,0.000000,0.000000,0.000000,0.000000,
19,vector0,NA,NA,1.542778,2777,0.000000,0.000000,0.000000,0.000000,
20,vector0,NA,NA,0.973889,1753,0.000000,0.000000,0.000000,0.000000,
21,vector0,NA,NA,1.303889,2347,0.000000,0.000000,0.000000,0.000000,
22,vector0,NA,NA,1.703333,3066,0.000000,0.000000,0.000000,0.000000,
23,vector0,NA,NA,1.475000,2655,0.000000,0.000000,0.000000,0.000000,
