block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,1112.943848,2003299,14724,801,25080,5261,25097,5246,94.840576,82.685715,85.161858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1112.437256,2002387,6922,5760,45086,15358,45161,15365,54.581295,74.602791,72.702988,
1,cube0,1118.276123,2012897,14725,800,25152,5253,25165,5245,94.847023,82.737808,85.200417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117.747803,2011946,6922,5760,45185,15388,45062,15335,54.581295,74.602791,72.702988,
2,cube0,1090.786621,1963416,14724,801,24853,5260,24870,5238,94.840576,82.567543,85.083038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090.335571,1962604,6922,5760,45076,15348,45172,15374,54.581295,74.603622,72.703735,
3,cube0,1091.725586,1965106,14725,800,25270,5250,25272,5248,94.847023,82.801445,85.243912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1091.281128,1964306,6922,5760,45189,15361,45059,15361,54.581295,74.603622,72.703735,
4,cube0,1086.612183,1955902,14725,800,25081,5245,25074,5253,94.847023,82.691704,85.168945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086.203857,1955167,6922,5760,45142,15337,45106,15385,54.581295,74.603622,72.703735,
5,cube0,1089.466675,1961040,14724,801,25428,5255,25440,5243,94.840576,82.892807,85.305176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.958862,1960126,6922,5760,45130,15366,45118,15356,54.581295,74.603622,72.703735,
6,cube0,1088.236084,1958825,14725,800,25112,5224,25062,5274,94.847023,82.697128,85.172646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087.704956,1957869,6922,5760,45142,15357,45106,15365,54.581295,74.603622,72.703735,
7,cube0,1092.223877,1966003,14725,800,25372,5259,25391,5240,94.847023,82.862137,85.285271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1091.269409,1964285,6922,5760,45147,15328,45101,15394,54.581295,74.603622,72.703735,
8,cube0,1094.488892,1970080,14725,800,24769,5244,24760,5254,94.847023,82.511200,85.046059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1093.939941,1969092,6922,5760,45087,15354,45161,15368,54.581295,74.603622,72.703735,
9,cube0,1093.452759,1968215,14724,800,24850,5253,24859,5245,94.846687,82.563492,85.081406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1092.962280,1967332,6922,5760,45165,15365,45083,15357,54.581295,74.603622,72.703735,
10,cube0,1089.268921,1960684,14725,800,25313,5229,25271,5270,94.847023,82.811913,85.250885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.672729,1959611,6922,5760,45176,15345,45072,15377,54.581295,74.603622,72.703735,
11,cube0,1088.816162,1959869,14724,801,24951,5251,24955,5247,94.840576,82.620354,85.118996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.164429,1958696,6922,5760,45103,15351,45145,15371,54.581295,74.603622,72.703735,
12,cube0,1079.395020,1942911,14725,800,25422,5241,25406,5257,94.847023,82.881645,85.298828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1078.814453,1941866,6922,5760,45137,15353,45111,15369,54.581295,74.603622,72.703735,
13,cube0,1089.403931,1960927,14725,800,25064,5258,25082,5240,94.847023,82.689140,85.167191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.827271,1959889,6921,5761,45126,15353,45122,15369,54.573410,74.603622,72.702988,
14,cube0,1088.050049,1958490,14725,800,25378,5229,25338,5269,94.847023,82.850327,85.277367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087.440552,1957393,6922,5760,45152,15332,45096,15390,54.581295,74.603622,72.703735,
15,cube0,1111.022217,1999840,14724,801,25167,5248,25259,5250,94.840576,82.768692,85.220215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1110.426147,1998767,6922,5760,45148,15339,45100,15383,54.581295,74.603622,72.703735,
16,cube0,17.200001,30960,52,33,39,2,46,3,61.176472,94.444443,78.285713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
