block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,162656.375000,292781469,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,162705.953125,292870732,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,162656.156250,292781078,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,162710.421875,292878758,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,162696.531250,292853760,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,162776.140625,292997059,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,162724.109375,292903385,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,162834.234375,293101647,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,162685.109375,292833182,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,162716.890625,292890406,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,162691.406250,292844539,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,162718.296875,292892937,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,162702.859375,292865143,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,162733.015625,292919418,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,162693.671875,292848597,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,162712.203125,292881945,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.020555,1837,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.254444,2258,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,0.979444,1763,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.646111,2963,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.059444,1907,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.463333,2634,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.515556,2728,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.534444,2762,
