block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146173.281250,263111921,21378,6528,1365519,26146,1365497,26076,76.607178,98.123695,97.910103,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146171.859375,263109366,21377,6529,1365469,26104,1365547,26118,76.603600,98.123695,97.910065,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146193.406250,263148135,21378,6528,1365491,26097,1365526,26124,76.607178,98.123734,97.910133,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146163.921875,263095080,21377,6529,1365536,26114,1365480,26108,76.603600,98.123695,97.910065,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146223.187500,263201743,21378,6528,1365495,26156,1365522,26065,76.607178,98.123734,97.910133,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146237.843750,263228125,21378,6528,1365478,26109,1365539,26112,76.607178,98.123734,97.910133,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146253.718750,263256685,21377,6529,1365497,26133,1365520,26088,76.603600,98.123734,97.910103,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146237.765625,263227965,21377,6529,1365485,26123,1365532,26098,76.603600,98.123734,97.910103,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146186.546875,263135788,21378,6528,1365572,26097,1365445,26124,76.607178,98.123734,97.910133,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146223.640625,263202560,21377,6529,1365457,26112,1365560,26109,76.603600,98.123734,97.910103,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146199.218750,263158591,21378,6528,1365451,26114,1365566,26107,76.607178,98.123734,97.910133,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146239.390625,263230911,21378,6528,1365557,26116,1365460,26105,76.607178,98.123734,97.910133,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146235.734375,263224325,21377,6529,1365572,26104,1365445,26117,76.603600,98.123734,97.910103,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146246.906250,263244435,21378,6528,1365505,26057,1365512,26164,76.607178,98.123734,97.910133,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146200.812500,263161475,21378,6528,1365564,26078,1365453,26143,76.607178,98.123734,97.910133,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146214.750000,263186543,21378,6528,1365468,26128,1365549,26093,76.607178,98.123734,97.910133,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.251111,2252,2,0,3,1,2,0,100.000000,83.333336,87.500000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.474444,2654,2,0,1,1,4,0,100.000000,83.333336,87.500000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.100556,1981,2,0,4,1,1,0,100.000000,83.333336,87.500000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.251111,2252,2,0,1,0,4,1,100.000000,83.333336,87.500000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.294444,2330,2,0,2,0,3,1,100.000000,83.333336,87.500000,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.598889,2878,2,0,3,1,1,1,100.000000,66.666664,75.000000,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.647222,2965,2,0,3,1,2,0,100.000000,83.333336,87.500000,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.129444,3833,2,0,1,1,4,0,100.000000,83.333336,87.500000,
