block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,1112.943848,2003299,0.047477,0.047477,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1112.437256,2002387,0.463082,0.265380,0.014296,0.000000,0.000000,0.169108,17351808,
1,cube0,1118.276123,2012897,0.047794,0.047794,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117.747803,2011946,0.463539,0.265642,0.014311,0.000000,0.000000,0.169274,17351808,
2,cube0,1090.786621,1963416,0.046386,0.046386,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090.335571,1962604,0.452589,0.259368,0.013972,0.000000,0.000000,0.165276,17351808,
3,cube0,1091.725586,1965106,0.045682,0.045682,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1091.281128,1964306,0.451005,0.258460,0.013924,0.000000,0.000000,0.164697,17351808,
4,cube0,1086.612183,1955902,0.045659,0.045659,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086.203857,1955167,0.449297,0.257481,0.013871,0.000000,0.000000,0.164073,17351808,
5,cube0,1089.466675,1961040,0.046869,0.046869,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.958862,1960126,0.457607,0.262243,0.014127,0.000000,0.000000,0.167108,17351808,
6,cube0,1088.236084,1958825,0.046621,0.046621,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087.704956,1957869,0.455566,0.261073,0.014064,0.000000,0.000000,0.166363,17351808,
7,cube0,1092.223877,1966003,0.045982,0.045982,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1091.269409,1964285,0.449919,0.257837,0.013890,0.000000,0.000000,0.164301,17351808,
8,cube0,1094.488892,1970080,0.045746,0.045746,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1093.939941,1969092,0.446319,0.255774,0.013779,0.000000,0.000000,0.162986,17351808,
9,cube0,1093.452759,1968215,0.046033,0.046033,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1092.962280,1967332,0.448723,0.257152,0.013853,0.000000,0.000000,0.163864,17351808,
10,cube0,1089.268921,1960684,0.045176,0.045176,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.672729,1959611,0.445229,0.255149,0.013745,0.000000,0.000000,0.162588,17351808,
11,cube0,1088.816162,1959869,0.046155,0.046155,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.164429,1958696,0.450940,0.258423,0.013922,0.000000,0.000000,0.164674,17351808,
12,cube0,1079.395020,1942911,0.046018,0.046018,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1078.814453,1941866,0.449082,0.257358,0.013864,0.000000,0.000000,0.163995,17351808,
13,cube0,1089.403931,1960927,0.046108,0.046108,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.827271,1959889,0.451094,0.258511,0.013926,0.000000,0.000000,0.164730,17351808,
14,cube0,1088.050049,1958490,0.046577,0.046577,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
