block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,1112.943848,2003299,7.653269,5.460633,6.455990,6.568547,566,0.033328,245,0.084485,10,0.000183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7585.500000,7717.750000,6416.000000,2.459744,103.000000,0.046382,0.000000,0.000000,7680.000000,3.440220,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1112.437256,2002387,5.346586,12.854956,12.869637,5.352118,1529,0.259898,541,0.087427,15121.250000,6288.500000,NA,NA,NA,NA,NA,NA,NA,NA,15104.000000,6.592285,6282.000000,3.037833,
1,cube0,1118.276123,2012897,7.653269,5.460633,6.469926,6.568547,566,0.033583,245,0.086484,10,0.000196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7601.875000,7717.750000,6416.000000,2.459744,103.000000,0.046382,0.000000,0.000000,7680.000000,3.440220,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117.747803,2011946,5.346586,12.854956,12.869637,5.352118,1529,0.261163,541,0.087376,15121.250000,6288.500000,NA,NA,NA,NA,NA,NA,NA,NA,15104.000000,6.592285,6282.000000,3.037833,
2,cube0,1090.786621,1963416,7.653269,5.460633,6.406733,6.568547,566,0.032481,245,0.088698,10,0.000192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7527.625000,7717.750000,6416.000000,2.459744,103.000000,0.046382,0.000000,0.000000,7680.000000,3.440220,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090.335571,1962604,5.346586,12.854956,12.869637,5.352118,1529,0.252985,541,0.085028,15121.250000,6288.500000,NA,NA,NA,NA,NA,NA,NA,NA,15104.000000,6.592285,6282.000000,3.037833,
3,cube0,1091.725586,1965106,7.653269,5.460633,6.493864,6.568547,566,0.032406,245,0.096052,10,0.000213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7630.000000,7717.750000,6416.000000,2.459744,103.000000,0.046382,0.000000,0.000000,7680.000000,3.440220,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1091.281128,1964306,5.346586,12.854956,12.869637,5.352118,1529,0.248402,541,0.083292,15121.250000,6288.500000,NA,NA,NA,NA,NA,NA,NA,NA,15104.000000,6.592285,6282.000000,3.037833,
4,cube0,1086.612183,1955902,7.653269,5.460633,6.452692,6.568547,566,0.032173,245,0.092976,10,0.000466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7581.625000,7717.750000,6416.000000,2.459744,103.000000,0.046382,0.000000,0.000000,7680.000000,3.440220,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086.203857,1955167,5.346586,12.854956,12.869637,5.352118,1529,0.245699,541,0.081487,15121.250000,6288.500000,NA,NA,NA,NA,NA,NA,NA,NA,15104.000000,6.592285,6282.000000,3.037833,
5,cube0,1089.466675,1961040,7.653269,5.460633,6.528546,6.568547,566,0.032886,245,0.091379,10,0.000581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7670.750000,7717.750000,6416.000000,2.459744,103.000000,0.046382,0.000000,0.000000,7680.000000,3.440220,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.958862,1960126,5.346586,12.854956,12.869637,5.352118,1529,0.241200,541,0.082013,15121.250000,6288.500000,NA,NA,NA,NA,NA,NA,NA,NA,15104.000000,6.592285,6282.000000,3.037833,
6,cube0,1088.236084,1958825,7.653269,5.460633,6.454713,6.568547,566,0.032689,245,0.091631,10,0.000560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7584.000000,7717.750000,6416.000000,2.459744,103.000000,0.046382,0.000000,0.000000,7680.000000,3.440220,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087.704956,1957869,5.346586,12.854956,12.869637,5.352118,1529,0.244290,541,0.082403,15121.250000,6288.500000,NA,NA,NA,NA,NA,NA,NA,NA,15104.000000,6.592285,6282.000000,3.037833,
7,cube0,1092.223877,1966003,7.653269,5.460633,6.517481,6.568547,566,0.032270,245,0.096069,10,0.000520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7657.750000,7717.750000,6416.000000,2.459744,103.000000,0.046382,0.000000,0.000000,7680.000000,3.440220,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1091.269409,1964285,5.346586,12.854956,12.869637,5.352118,1529,0.249020,541,0.081990,15121.250000,6288.500000,NA,NA,NA,NA,NA,NA,NA,NA,15104.000000,6.592285,6282.000000,3.037833,
8,cube0,1094.488892,1970080,7.653269,5.460633,6.386093,6.568547,566,0.031688,245,0.099266,10,0.000204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7503.375000,7717.750000,6416.000000,2.459744,103.000000,0.046382,0.000000,0.000000,7680.000000,3.440220,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1093.939941,1969092,5.346586,12.854956,12.869637,5.352118,1529,0.248604,541,0.086813,15121.250000,6288.500000,NA,NA,NA,NA,NA,NA,NA,NA,15104.000000,6.592285,6282.000000,3.037833,
