block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aic_mte1_active_bw(GB/s),aic_mte2_active_bw(GB/s),
0,cube0,1112.943848,2003299,53.173889,0.047477,1092.130005,0.975116,37.327778,0.033328,94.622780,0.084485,0.205000,0.000183,479.163208,129.449448,0.115580,56.579762,0.000365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1112.437256,2002387,518.651672,0.463082,321.512787,0.287065,291.086121,0.259898,49.484657,97.917778,0.087427,61.183804,0.000000,NA,NA,
1,cube0,1118.276123,2012897,53.528889,0.047794,1097.067749,0.979525,37.613335,0.033583,96.861664,0.086484,0.220000,0.000196,446.492981,131.840561,0.117715,55.553608,0.000331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117.747803,2011946,519.163330,0.463539,321.482788,0.287038,292.502777,0.261163,49.244991,97.861115,0.087376,61.219231,0.000000,NA,NA,
2,cube0,1090.786621,1963416,51.952778,0.046386,1071.513306,0.956708,36.378887,0.032481,99.342224,0.088698,0.215000,0.000192,456.876526,131.955551,0.117817,55.505196,0.000388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090.335571,1962604,506.899994,0.452589,315.661652,0.281841,283.342773,0.252985,50.836998,95.231667,0.085028,62.909557,0.000000,NA,NA,
3,cube0,1091.725586,1965106,51.163887,0.045682,1069.969482,0.955330,36.294445,0.032406,107.577774,0.096052,0.238333,0.000213,412.147369,140.996674,0.125890,51.946041,0.000324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1091.281128,1964306,505.125549,0.451005,317.393341,0.283387,278.210541,0.248402,51.774803,93.286667,0.083292,64.221207,0.000000,NA,NA,
4,cube0,1086.612183,1955902,51.137779,0.045659,1064.940552,0.950840,36.033333,0.032173,104.132774,0.092976,0.522222,0.000466,188.097046,137.046112,0.122363,53.443462,0.000375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086.203857,1955167,503.212769,0.449297,315.236115,0.281461,275.182770,0.245699,52.344471,91.264999,0.081487,65.643799,0.000000,NA,NA,
5,cube0,1089.466675,1961040,52.492779,0.046869,1065.488892,0.951329,36.832222,0.032886,102.344444,0.091379,0.650556,0.000581,150.991653,135.211105,0.120724,54.168766,0.000333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.958862,1960126,512.519470,0.457607,321.912781,0.287422,270.143890,0.241200,53.320831,91.855003,0.082013,65.222168,0.000000,NA,NA,
6,cube0,1088.236084,1958825,52.215557,0.046621,1064.835571,0.950746,36.611668,0.032689,102.626663,0.091631,0.627222,0.000560,156.608688,135.388336,0.120882,54.097855,0.000356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087.704956,1957869,510.233887,0.455566,316.660553,0.282733,273.604431,0.244290,52.646431,92.291115,0.082403,64.913956,0.000000,NA,NA,
7,cube0,1092.223877,1966003,51.499443,0.045982,1070.813354,0.956083,36.142776,0.032270,107.597221,0.096069,0.582222,0.000520,168.712997,142.946106,0.127630,51.237625,0.000379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1091.269409,1964285,503.908875,0.449919,313.779449,0.280160,278.902222,0.249020,51.646404,91.828888,0.081990,65.240707,0.000000,NA,NA,
8,cube0,1094.488892,1970080,51.235554,0.045746,1073.517212,0.958498,35.491112,0.031688,111.177780,0.099266,0.228889,0.000204,429.153442,145.786667,0.130167,50.239292,0.000345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1093.939941,1969092,499.877777,0.446319,313.154999,0.279603,278.436096,0.248604,51.732868,97.230003,0.086813,61.616600,0.000000,NA,NA,
9,cube0,1093.452759,1968215,51.557220,0.046033,1071.771606,0.956939,35.731667,0.031903,111.105553,0.099201,0.207778,0.000186,470.462311,143.867783,0.128453,50.909374,0.000370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1092.962280,1967332,502.569458,0.448723,316.124451,0.282254,277.075012,0.247388,51.986992,97.697220,0.087230,61.321930,0.000000,NA,NA,
10,cube0,1089.268921,1960684,50.597221,0.045176,1068.707275,0.954203,35.520000,0.031714,108.692223,0.097047,0.226111,0.000202,434.425598,140.717224,0.125640,52.049202,0.000323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.672729,1959611,498.656097,0.445229,308.709442,0.275633,282.449432,0.252187,50.997791,99.837776,0.089141,60.007168,0.000000,NA,NA,
11,cube0,1088.816162,1959869,51.693333,0.046155,1068.959961,0.954429,36.388889,0.032490,94.771111,0.084617,0.200556,0.000179,489.781738,126.956108,0.113354,57.690952,0.000347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.164429,1958696,505.052765,0.450940,317.123901,0.283146,285.943329,0.255307,50.374657,100.617226,0.089837,59.542313,0.000000,NA,NA,
12,cube0,1079.395020,1942911,51.540554,0.046018,1057.882202,0.944538,36.322224,0.032431,92.337219,0.082444,0.200000,0.000179,491.142273,124.703331,0.111342,58.733147,0.000359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1078.814453,1941866,502.972229,0.449082,309.303345,0.276164,284.288879,0.253829,50.667816,96.290001,0.085973,62.218109,0.000000,NA,NA,
13,cube0,1089.403931,1960927,51.640556,0.046108,1069.071655,0.954528,36.316113,0.032425,96.171112,0.085867,0.338333,0.000302,290.330414,129.083328,0.115253,56.740238,0.000356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.827271,1959889,505.225555,0.451094,314.598877,0.280892,284.154999,0.253710,50.691685,97.231667,0.086814,61.615547,0.000000,NA,NA,
14,cube0,1088.050049,1958490,52.166111,0.046577,1066.392212,0.952136,36.513889,0.032602,98.204445,0.087683,0.502222,0.000448,195.587616,131.287781,0.117221,55.787514,0.000335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
