block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,1104.762817,1988573,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,1104.224976,1987605,69.590057,51.480545,0.068277,0.006134,
1,cube0,1107.276123,1993097,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,1106.802246,1992244,69.590057,51.480545,0.068277,0.006134,
2,cube0,1104.390503,1987903,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,1103.796143,1986833,69.590057,51.480545,0.068277,0.006134,
3,cube0,1105.582764,1990049,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,1105.037720,1989068,69.590057,51.480545,0.068277,0.006134,
4,cube0,1103.360596,1986049,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,1102.719482,1984895,69.590057,51.480545,0.068277,0.006134,
5,cube0,1114.810059,2006658,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,1114.286621,2005716,69.590057,51.480545,0.068277,0.006134,
6,cube0,1103.271118,1985888,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,1102.630615,1984735,69.590057,51.480545,0.068277,0.006134,
7,cube0,1114.592163,2006266,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,1114.057739,2005304,69.590057,51.480545,0.068277,0.006134,
8,cube0,1099.261719,1978671,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,1098.561157,1977410,69.590057,51.480545,0.068277,0.006134,
9,cube0,1099.262817,1978673,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,1098.617798,1977512,69.590057,51.480545,0.068277,0.006134,
10,cube0,1096.636108,1973945,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,1096.088867,1972960,69.590057,51.480545,0.068277,0.006134,
11,cube0,1103.676636,1986618,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,1103.100586,1985581,69.590057,51.480545,0.068277,0.006134,
12,cube0,1101.864502,1983356,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,1101.349487,1982429,69.590057,51.480545,0.068277,0.006134,
13,cube0,1102.088379,1983759,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,1101.599487,1982879,69.590057,51.480545,0.068277,0.006134,
14,cube0,1098.961670,1978131,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,1098.506104,1977311,69.590057,51.480545,0.068277,0.006134,
15,cube0,1106.109985,1990998,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,1105.603882,1990087,69.590057,51.480545,0.068277,0.006134,
16,cube0,20.200556,36361,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,14.182777,25529,0.000000,0.000000,0.000000,0.000000,
17,cube0,20.221111,36398,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,14.460556,26029,0.000000,0.000000,0.000000,0.000000,
18,cube0,19.701111,35462,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,13.157778,23684,0.000000,0.000000,0.000000,0.000000,
19,cube0,18.565001,33417,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,12.638333,22749,0.000000,0.000000,0.000000,0.000000,
20,cube0,19.713333,35484,NA,NA,NA,NA,NA,NA,
20,vector0,NA,NA,13.697778,24656,0.000000,0.000000,0.000000,0.000000,
21,cube0,19.828888,35692,NA,NA,NA,NA,NA,NA,
21,vector0,NA,NA,13.895000,25011,0.000000,0.000000,0.000000,0.000000,
22,cube0,20.245001,36441,NA,NA,NA,NA,NA,NA,
22,vector0,NA,NA,14.972777,26951,0.000000,0.000000,0.000000,0.000000,
23,cube0,20.273890,36493,NA,NA,NA,NA,NA,NA,
23,vector0,NA,NA,15.404445,27728,0.000000,0.000000,0.000000,0.000000,
