block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,1104.762817,1988573,0.135680,0.098344,0.082245,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,1104.224976,1987605,0.062865,0.048571,0.014294,0.000000,0.000000,0.026102,0.000000,0.000000,0.000978,
1,cube0,1107.276123,1993097,0.133623,0.098318,0.082298,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,1106.802246,1992244,0.062865,0.048571,0.014294,0.000000,0.000000,0.026102,0.000000,0.000000,0.000977,
2,cube0,1104.390503,1987903,0.130650,0.095424,0.079364,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,1103.796143,1986833,0.062865,0.048571,0.014294,0.000000,0.000000,0.026102,0.000000,0.000000,0.000967,
3,cube0,1105.582764,1990049,0.128462,0.093221,0.077176,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,1105.037720,1989068,0.062865,0.048571,0.014294,0.000000,0.000000,0.026102,0.000000,0.000000,0.000978,
4,cube0,1103.360596,1986049,0.128876,0.092443,0.076061,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,1102.719482,1984895,0.062865,0.048571,0.014294,0.000000,0.000000,0.026102,0.000000,0.000000,0.000980,
5,cube0,1114.810059,2006658,0.129869,0.093968,0.077956,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,1114.286621,2005716,0.062865,0.048571,0.014294,0.000000,0.000000,0.026102,0.000000,0.000000,0.000979,
6,cube0,1103.271118,1985888,0.132271,0.095843,0.079791,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,1102.630615,1984735,0.062865,0.048571,0.014294,0.000000,0.000000,0.026102,0.000000,0.000000,0.000981,
7,cube0,1114.592163,2006266,0.131218,0.094403,0.078334,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,1114.057739,2005304,0.062865,0.048571,0.014294,0.000000,0.000000,0.026102,0.000000,0.000000,0.000980,
8,cube0,1099.261719,1978671,0.129048,0.092439,0.076385,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,1098.561157,1977410,0.062865,0.048571,0.014294,0.000000,0.000000,0.026102,0.000000,0.000000,0.000968,
9,cube0,1099.262817,1978673,0.126603,0.089832,0.073835,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,1098.617798,1977512,0.062865,0.048571,0.014294,0.000000,0.000000,0.026102,0.000000,0.000000,0.000978,
10,cube0,1096.636108,1973945,0.128985,0.091659,0.075609,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,1096.088867,1972960,0.062865,0.048571,0.014294,0.000000,0.000000,0.026102,0.000000,0.000000,0.000968,
11,cube0,1103.676636,1986618,0.131150,0.092594,0.076540,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,1103.100586,1985581,0.062865,0.048571,0.014294,0.000000,0.000000,0.026102,0.000000,0.000000,0.000980,
12,cube0,1101.864502,1983356,0.140522,0.105258,0.089219,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,1101.349487,1982429,0.062865,0.048571,0.014294,0.000000,0.000000,0.026102,0.000000,0.000000,0.000967,
13,cube0,1102.088379,1983759,0.146214,0.107720,0.091692,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,1101.599487,1982879,0.062865,0.048571,0.014294,0.000000,0.000000,0.026102,0.000000,0.000000,0.000977,
14,cube0,1098.961670,1978131,0.132443,0.092651,0.076579,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,1098.506104,1977311,0.062865,0.048571,0.014294,0.000000,0.000000,0.026102,0.000000,0.000000,0.000978,
15,cube0,1106.109985,1990998,0.135110,0.096623,0.080567,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,1105.603882,1990087,0.062865,0.048571,0.014294,0.000000,0.000000,0.026102,0.000000,0.000000,0.000978,
16,cube0,20.200556,36361,0.000000,0.000000,0.000000,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,14.182777,25529,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
17,cube0,20.221111,36398,0.000000,0.000000,0.000000,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,14.460556,26029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
18,cube0,19.701111,35462,0.000000,0.000000,0.000000,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,13.157778,23684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
19,cube0,18.565001,33417,0.000000,0.000000,0.000000,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,12.638333,22749,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
20,cube0,19.713333,35484,0.000000,0.000000,0.000000,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,13.697778,24656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
21,cube0,19.828888,35692,0.000000,0.000000,0.000000,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,13.895000,25011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
22,cube0,20.245001,36441,0.000000,0.000000,0.000000,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,14.972777,26951,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
23,cube0,20.273890,36493,0.000000,0.000000,0.000000,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,15.404445,27728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
