iter,description,e2e_best,e2e_mean,correct
51,baseM=32,128.27,144.72,YES
52,2warmup,118.31,133.48,YES
53,baseN=64,127.85,142.70,YES
54,baseN=256,118.77,132.19,YES
55,SpecialMDL,128.44,142.97,YES
56,no_UnitFlag,126.14,140.03,YES
57,enableEnd_false,124.93,134.20,YES
58,8cores_baseN256,115.34,122.97,YES
59,4cores_baseN256,115.28,128.62,YES
60,verify_no_causal_mask,125.10,137.50,YES
61,verify_minimal_D2H,147.66,160.69,YES
62,FIRSTN_traverse,COMPILE_FAIL,N/A,NO
63,enableKdimReorderLoad,119.24,130.67,YES
64,depthA1_2,127.82,143.52,YES
65,depthA1_8,116.51,128.08,YES
66,depthB1_8,121.58,140.51,YES
67,minimal_L1,120.32,131.83,YES
68,verify_zero_weight_skip,124.87,135.81,YES
69,verify_restrict,127.26,137.50,YES
70,verify_timing_precision,117.34,133.03,YES
