name,duration_us,precision,status,config
tile1024,91.30365,PASS,pass,{'tileSize': 1024}
tile3072,59.942398,PASS,pass,{'tileSize': 3072}
tile5120,56.502258,PASS,pass,{'tileSize': 5120}
tile7168,54.362175,PASS,pass,{'tileSize': 7168}
tile9216,53.742149,PASS,pass,{'tileSize': 9216}
step1_2,56.822273,PASS,pass,"{'stepM': 1, 'stepN': 2}"
step1_3,55.042202,PASS,pass,"{'stepM': 1, 'stepN': 3}"
step1_4,54.282173,PASS,pass,"{'stepM': 1, 'stepN': 4}"
step2_1,52.802113,PASS,pass,"{'stepM': 2, 'stepN': 1}"
step2_2,54.122166,PASS,pass,"{'stepM': 2, 'stepN': 2}"
step2_3,56.702267,PASS,pass,"{'stepM': 2, 'stepN': 3}"
step3_1,57.5023,PASS,pass,"{'stepM': 3, 'stepN': 1}"
step3_3,58.482338,PASS,pass,"{'stepM': 3, 'stepN': 3}"
bM64_bN128,83.883354,PASS,pass,"{'baseM': 64, 'baseN': 128}"
bM128_bN64,82.223289,PASS,pass,"{'baseM': 128, 'baseN': 64}"
bM192_bN128,60.802433,PASS,pass,"{'baseM': 192, 'baseN': 128}"
bM256_bN160,,FAIL,"[ 50%] Building ASC object CMakeFiles/demo.dir/matmul_leakyrelu.asc.o
[100%] Linking ASC executable demo
[100%] Built target demo
gen tiling failed
2026-04-09 23:25:05 [INFO]  Op profiling analysis start.
2026-04-09 23:25:05 [INFO]  Running device task: DeviceProf
[INFO] <ProfData> Start profiling on device 0, kernel: _Z23matmul_leakyrelu_customPhS_S_S_S_N7AscendC6tiling11TCubeTilingE_mix_aic
[INFO] <WarmUp> Warm Up enabled. times:10
data index: 000000, expected: 6676.000000000, actual: 6435.000000000, rdiff: 0.036099
data index: 000001, expected: 6789.000000000, actual: 6496.000000000, rdiff: 0.043158
data index: 000002, expected: 6546.000000000, actual: 6527.000000000, rdiff: 0.002903
data index: 000003, expected: 6401.000000000, actual: 5980.000000000, rdiff: 0.065771
data index: 000004, expected: 6633.000000000, actual: 6302.000000000, rdiff: 0.049902
data index: 000005, expected: 6869.000000000, actual: 6436.000000000, rdiff: 0.063037
data index: 000006, expected: 6477.000000000, actual: 6086.000000000, rdiff: 0.060367
data index: 000007, expected: 6503.000000000, actual: 6221.000000000, rdiff: 0.043365
data index: 000008, expected: 6935.000000000, actual: 6794.000000000, rdiff: 0.020332
data index: 000009, expected: 6541.000000000, actual: 6878.000000000, rdiff: 0.051521
data index: 000010, expected: 7135.000000000, actual: 6345.000000000, rdiff: 0.110722
data index: 000011, expected: 6098.000000000, actual: 6435.000000000, rdiff: 0.055264
data index: 000012, expected: 7100.000000000, actual: 6576.000000000, rdiff: 0.073803
data index: 000013, expected: 6674.000000000, actual: 6429.000000000, rdiff: 0.036710
data index: 000014, expected: 6730.000000000, actual: 6609.000000000, rdiff: 0.017979
data index: 000015, expected: 6727.000000000, actual: 6505.000000000, rdiff: 0.033001
data index: 000016, expected: 6891.000000000, actual: 6913.000000000, rdiff: 0.003193
data index: 000017, expected: 6840.000000000, actual: 6362.000000000, rdiff: 0.069883
data index: 000018, expected: 6428.000000000, actual: 6026.000000000, rdiff: 0.062539
data index: 000019, expected: 6816.000000000, actual: 6639.000000000, rdiff: 0.025968
data index: 000020, expected: 6927.000000000, actual: 7079.000000000, rdiff: 0.021943
data index: 000021, expected: 6697.000000000, actual: 6074.000000000, rdiff: 0.093027
data index: 000022, expected: 7186.000000000, actual: 6196.000000000, rdiff: 0.137768
data index: 000023, expected: 6218.000000000, actual: 6506.000000000, rdiff: 0.046317
data index: 000024, expected: 6626.000000000, actual: 6067.000000000, rdiff: 0.084365
data index: 000025, expected: 6489.000000000, actual: 6177.000000000, rdiff: 0.048081
data index: 000026, expected: 6544.000000000, actual: 6365.000000000, rdiff: 0.027353
data index: 000027, expected: 6810.000000000, actual: 6533.000000000, rdiff: 0.040675
data index: 000028, expected: 7081.000000000, actual: 6214.000000000, rdiff: 0.122440
data index: 000029, expected: 6592.000000000, actual: 6391.000000000, rdiff: 0.030492
data index: 000030, expected: 7082.000000000, actual: 6381.000000000, rdiff: 0.098983
data index: 000031, expected: 6628.000000000, actual: 6232.000000000, rdiff: 0.059747
data index: 000032, expected: 6819.000000000, actual: 6416.000000000, rdiff: 0.059100
data index: 000033, expected: 6911.000000000, actual: 5944.000000000, rdiff: 0.139922
data index: 000034, expected: 6706.000000000, actual: 6247.000000000, rdiff: 0.068446
data index: 000035, expected: 7104.000000000, actual: 6347.000000000, rdiff: 0.106560
data index: 000036, expected: 7026.000000000, actual: 6361.000000000, rdiff: 0.094648
data index: 000037, expected: 7036.000000000, actual: 6564.000000000, rdiff: 0.067084
data index: 000038, expected: 6687.000000000, actual: 6581.000000000, rdiff: 0.015852
data index: 000039, expected: 7004.000000000, actual: 6049.000000000, rdiff: 0.136351
data index: 000040, expected: 7010.000000000, actual: 6335.000000000, rdiff: 0.096291
data index: 000041, expected: 6518.000000000, actual: 6107.000000000, rdiff: 0.063056
data index: 000042, expected: 7159.000000000, actual: 6619.000000000, rdiff: 0.075430
data index: 000043, expected: 6695.000000000, actual: 6632.000000000, rdiff: 0.009410
data index: 000044, expected: 6810.000000000, actual: 6183.000000000, rdiff: 0.092070
data index: 000045, expected: 6572.000000000, actual: 6307.000000000, rdiff: 0.040323
data index: 000046, expected: 6364.000000000, actual: 6282.000000000, rdiff: 0.012885
data index: 000047, expected: 6492.000000000, actual: 6593.000000000, rdiff: 0.015558
data index: 000048, expected: 6858.000000000, actual: 6275.000000000, rdiff: 0.085010
data index: 000049, expected: 6760.000000000, actual: 6054.000000000, rdiff: 0.104438
data index: 000050, expected: 7081.000000000, actual: 6588.000000000, rdiff: 0.069623
data index: 000051, expected: 6767.000000000, actual: 6795.000000000, rdiff: 0.004138
data index: 000052, expected: 6988.000000000, actual: 6234.000000000, rdiff: 0.107899
data index: 000053, expected: 7223.000000000, actual: 6652.000000000, rdiff: 0.079053
data index: 000054, expected: 7166.000000000, actual: 6522.000000000, rdiff: 0.089869
data index: 000055, expected: 6792.000000000, actual: 6463.000000000, rdiff: 0.048439
data index: 000056, expected: 6985.000000000, actual: 6502.000000000, rdiff: 0.069148
data index: 000057, expected: 6847.000000000, actual: 6677.000000000, rdiff: 0.024828
data index: 000058, expected: 6806.000000000, actual: 6233.000000000, rdiff: 0.084190
data index: 000059, expected: 6526.000000000, actual: 6400.000000000, rdiff: 0.019307
data index: 000060, expected: 6995.000000000, actual: 6072.000000000, rdiff: 0.131951
data index: 000061, expected: 7107.000000000, actual: 6484.000000000, rdiff: 0.087660
data index: 000062, expected: 6859.000000000, actual: 6514.000000000, rdiff: 0.050299
data index: 000063, expected: 6904.000000000, actual: 5878.000000000, rdiff: 0.148610
data index: 000064, expected: 6559.000000000, actual: 6563.000000000, rdiff: 0.000610
data index: 000065, expected: 6721.000000000, actual: 6322.000000000, rdiff: 0.059366
data index: 000066, expected: 7305.000000000, actual: 6570.000000000, rdiff: 0.100616
data index: 000067, expected: 6964.000000000, actual: 6630.000000000, rdiff: 0.047961
data index: 000068, expected: 7187.000000000, actual: 6546.000000000, rdiff: 0.089189
data index: 000069, expected: 6511.000000000, actual: 6295.000000000, rdiff: 0.033175
data index: 000070, expected: 6778.000000000, actual: 6726.000000000, rdiff: 0.007672
data index: 000071, expected: 7011.000000000, actual: 6425.000000000, rdiff: 0.083583
data index: 000072, expected: 6626.000000000, actual: 6579.000000000, rdiff: 0.007093
data index: 000073, expected: 7224.000000000, actual: 6270.000000000, rdiff: 0.132060
data index: 000074, expected: 6528.000000000, actual: 6067.000000000, rdiff: 0.070619
data index: 000075, expected: 6694.000000000, actual: 6383.000000000, rdiff: 0.046460
data index: 000076, expected: 6756.000000000, actual: 6235.000000000, rdiff: 0.077117
data index: 000077, expected: 6812.000000000, actual: 6465.000000000, rdiff: 0.050940
data index: 000078, expected: 6942.000000000, actual: 6351.000000000, rdiff: 0.085134
data index: 000079, expected: 7377.000000000, actual: 5730.000000000, rdiff: 0.223261
data index: 000080, expected: 6893.000000000, actual: 6373.000000000, rdiff: 0.075439
data index: 000081, expected: 6493.000000000, actual: 6501.000000000, rdiff: 0.001232
data index: 000082, expected: 6505.000000000, actual: 6331.000000000, rdiff: 0.026749
data index: 000083, expected: 7555.000000000, actual: 6494.000000000, rdiff: 0.140437
data index: 000084, expected: 6867.000000000, actual: 6194.000000000, rdiff: 0.098005
data index: 000085, expected: 7143.000000000, actual: 6144.000000000, rdiff: 0.139857
data index: 000086, expected: 6584.000000000, actual: 6771.000000000, rdiff: 0.028402
data index: 000087, expected: 6917.000000000, actual: 6206.000000000, rdiff: 0.102790
data index: 000088, expected: 6367.000000000, actual: 6568.000000000, rdiff: 0.031569
data index: 000089, expected: 7043.000000000, actual: 6691.000000000, rdiff: 0.049979
data index: 000090, expected: 7134.000000000, actual: 6859.000000000, rdiff: 0.038548
data index: 000091, expected: 6777.000000000, actual: 6528.000000000, rdiff: 0.036742
data index: 000092, expected: 6909.000000000, actual: 6362.000000000, rdiff: 0.079172
data index: 000093, expected: 6771.000000000, actual: 6670.000000000, rdiff: 0.014917
data index: 000094, expected: 6856.000000000, actual: 6316.000000000, rdiff: 0.078763
data index: 000095, expected: 6995.000000000, actual: 6414.000000000, rdiff: 0.083059
data index: 000096, expected: 6876.000000000, actual: 6557.000000000, rdiff: 0.046393
data index: 000097, expected: 6753.000000000, actual: 6201.000000000, rdiff: 0.081741
data index: 000098, expected: 6869.000000000, actual: 6217.000000000, rdiff: 0.094919
data index: 000099, expected: 6600.000000000, actual: 6425.000000000, rdiff: 0.026515
data index: 000100, expected: 6985.000000000, actual: 6809.000000000, rdiff: 0.025197
golden_data :  [6676. 6789. 6546. ... 6640. 6816. 6353.]
output :  [6435. 6496. 6527. ... 6291. 6316. 6207.]
error ratio: 0.9991, tolerance: 0.0001
[ERROR] result error
","{'baseM': 256, 'baseN': 160}"
