iter,name,duration_us,precision,status,config
30,tile_1024,115.304611,PASS,pass,{'tileSize': 1024}
31,tile_2048,92.103683,PASS,pass,{'tileSize': 2048}
32,tile_3072,83.42334,PASS,pass,{'tileSize': 3072}
33,tile_4096,78.843155,PASS,pass,{'tileSize': 4096}
34,tile_5120,77.823112,PASS,pass,{'tileSize': 5120}
35,tile_6144,78.52314,PASS,pass,{'tileSize': 6144}
36,tile_7168,74.582985,PASS,pass,{'tileSize': 7168}
37,tile_8192,76.043045,PASS,pass,{'tileSize': 8192}
38,tile_9216,71.942879,PASS,pass,{'tileSize': 9216}
39,tile_10240,73.502937,PASS,pass,{'tileSize': 10240}
40,tile_11264,76.483063,PASS,pass,{'tileSize': 11264}
41,tile_12288,74.882996,PASS,pass,{'tileSize': 12288}
42,tile_13312,0.0,FAIL,msprof_fail,{'tileSize': 13312}
43,tile_14336,0.0,FAIL,msprof_fail,{'tileSize': 14336}
44,tile_15360,0.0,FAIL,msprof_fail,{'tileSize': 15360}
45,tile_16384,0.0,PASS,msprof_fail,{'tileSize': 16384}
46,step_1_1,76.063042,PASS,pass,"{'stepM': 1, 'stepN': 1}"
47,step_1_2,78.423134,PASS,pass,"{'stepM': 1, 'stepN': 2}"
48,step_1_3,75.223007,PASS,pass,"{'stepM': 1, 'stepN': 3}"
49,step_1_4,77.103081,PASS,pass,"{'stepM': 1, 'stepN': 4}"
50,step_2_1,74.402977,PASS,pass,"{'stepM': 2, 'stepN': 1}"
51,step_2_2,74.26297,PASS,pass,"{'stepM': 2, 'stepN': 2}"
52,step_2_3,76.783073,PASS,pass,"{'stepM': 2, 'stepN': 3}"
53,step_2_4,75.963036,PASS,pass,"{'stepM': 2, 'stepN': 4}"
54,step_3_1,79.543182,PASS,pass,"{'stepM': 3, 'stepN': 1}"
55,step_3_2,78.303131,PASS,pass,"{'stepM': 3, 'stepN': 2}"
56,step_3_3,78.52314,PASS,pass,"{'stepM': 3, 'stepN': 3}"
57,step_3_4,76.963081,PASS,pass,"{'stepM': 3, 'stepN': 4}"
58,step_4_1,79.223167,PASS,pass,"{'stepM': 4, 'stepN': 1}"
