name,duration_us,precision,status
v2_baseline,54.822193,PASS,pass
v2_tile4096,57.362293,PASS,pass
v2_tile6144,55.302212,PASS,pass
v2_tile10240,54.182167,PASS,pass
v2_tile12288,53.902157,PASS,pass
v2_tile2048,69.702789,PASS,pass
v2_stepM2,53.382133,PASS,pass
v2_stepN2,54.602184,PASS,pass
v2_stepM2N2,55.662228,PASS,pass
v2_stepM4,58.062321,PASS,pass
v2_stepN4,55.76223,PASS,pass
v2_FIRSTM,78.143127,PASS,pass
v2_transB,54.262169,PASS,pass
v2_bM128_bN128,71.362854,PASS,pass
v2_bM128_bN256,60.362415,PASS,pass
v2_bM256_bN64,70.222809,PASS,pass
