iter,description,matmul_us,leakyrelu_us,total_us,correct
48,ref_baseline_1,16.30,8.36,24.66,true
49,ref_baseline_2,15.30,9.10,24.40,true
50,ref_baseline_3,16.24,8.44,24.68,true
51,ref_baseline_4,16.02,9.06,25.08,true
52,ref_baseline_5,15.64,9.16,24.80,true
53,enableSetBias_false,15.36,9.50,24.86,false
54,enableSetTail_false,16.42,9.42,25.84,true
55,enableInit_false,15.54,8.76,24.30,true
56,grid_t10240_c15,15.96,9.98,25.94,true
57,grid_t10240_c20,16.74,9.06,25.80,true
58,grid_t10240_c25,15.92,9.48,25.40,true
59,grid_t12288_c15,15.82,9.52,25.34,true
60,grid_t12288_c20,16.26,8.30,24.56,true
61,grid_t12288_c25,15.96,9.44,25.40,true
62,grid_t14336_c15,16.24,9.56,25.80,true
63,grid_t14336_c20,15.98,9.00,24.98,true
64,grid_t14336_c25,15.76,9.82,25.58,true
65,grid_t16384_c15,16.22,9.78,26.00,true
66,grid_t16384_c20,15.78,9.28,25.06,true
67,grid_t16384_c25,15.44,9.98,25.42,true
68,grid_t18432_c15,15.96,9.80,25.76,true
69,grid_t18432_c20,15.12,9.54,24.66,true
70,grid_t18432_c25,15.92,9.78,25.70,true
71,grid_t20480_c15,16.62,9.68,26.30,true
72,grid_t20480_c20,15.32,9.76,25.08,true
73,grid_t20480_c25,15.46,11.44,26.90,true
74,grid2_t11264_c18,16.32,9.02,25.34,true
75,grid2_t11264_c20,15.62,8.78,24.40,true
76,grid2_t11264_c22,15.60,9.50,25.10,true
77,grid2_t13312_c18,16.06,8.94,25.00,true
78,grid2_t13312_c20,15.16,9.28,24.44,true
79,grid2_t13312_c22,16.34,9.62,25.96,true
80,grid2_t15360_c18,15.90,9.38,25.28,true
81,grid2_t15360_c20,15.90,8.74,24.64,true
82,grid2_t15360_c22,16.30,9.88,26.18,true
83,grid2_t17408_c18,16.10,9.82,25.92,true
84,grid2_t17408_c20,15.58,8.82,24.40,true
85,grid2_t17408_c22,16.24,9.50,25.74,true
86,grid2_t19456_c18,16.14,8.96,25.10,true
87,grid2_t19456_c20,16.08,9.84,25.92,true
88,grid2_t19456_c22,15.58,8.74,24.32,true
89,stability_1,16.14,8.28,24.42,true
90,stability_2,16.44,8.34,24.78,true
91,stability_3,16.04,8.76,24.80,true
92,stability_4,15.86,9.24,25.10,true
93,stability_5,16.74,8.70,25.44,true
94,stability_6,16.66,8.70,25.36,true
95,stability_7,16.66,9.24,25.90,true
96,stability_8,15.40,8.86,24.26,true
97,stability_9,16.26,8.80,25.06,true
98,stability_10,16.26,9.24,25.50,true
99,db_grid_t4096_c15,15.86,9.44,25.30,true
100,db_grid_t4096_c20,16.10,9.82,25.92,true
101,db_grid_t4096_c25,15.68,11.46,27.14,true
102,db_grid_t6144_c15,15.84,8.98,24.82,true
103,db_grid_t6144_c20,16.50,8.82,25.32,true
104,db_grid_t6144_c25,16.62,11.06,27.68,true
105,db_grid_t8192_c15,15.34,9.10,24.44,true
106,db_grid_t8192_c20,15.38,9.58,24.96,true
107,db_grid_t8192_c25,16.12,9.62,25.74,true
108,db_grid_t10240_c15,15.96,8.96,24.92,true
109,db_grid_t10240_c20,15.68,9.74,25.42,true
110,db_grid_t10240_c25,16.14,9.36,25.50,true
111,firstn_dim_8,12.92,8.70,21.62,true
112,firstn_dim_10,16.56,9.88,26.44,true
113,firstn_dim_12,12.96,10.48,23.44,true
114,firstn_dim_14,17.26,9.20,26.46,true
115,firstn_dim_16,11.84,8.86,20.70,true
116,firstn_dim_18,12.56,8.24,20.80,true
117,firstn_dim_20,11.66,9.02,20.68,true
118,firstn_dim_22,16.38,9.16,25.54,true
119,firstm_dim_8,13.72,8.20,21.92,true
120,firstm_dim_10,16.84,8.78,25.62,true
121,firstm_dim_12,13.14,8.84,21.98,true
122,firstm_dim_14,17.40,8.76,26.16,true
123,firstm_dim_16,12.06,8.94,21.00,true
124,firstm_dim_18,11.20,9.18,20.38,true
125,firstm_dim_20,11.70,8.66,20.36,true
126,firstm_dim_22,16.24,9.04,25.28,true
