iter,description,matmul_us,leakyrelu_us,total_us,correct
76,ts256_t14336,16.70,0.00,16.70,true
77,ts256_t14592,16.40,0.00,16.40,true
78,ts256_t14848,16.68,0.00,16.68,true
79,ts256_t15104,16.22,0.00,16.22,true
80,ts256_t15360,16.82,0.00,16.82,true
81,ts256_t15616,16.38,0.00,16.38,true
82,ts256_t15872,15.52,0.00,15.52,true
83,ts256_t16128,17.34,0.00,17.34,true
84,ts256_t16384,16.14,0.00,16.14,true
85,ts256_t16640,16.56,0.00,16.56,true
86,ts256_t16896,16.62,0.00,16.62,true
87,ts256_t17152,16.76,0.00,16.76,true
88,ts256_t17408,16.36,0.00,16.36,true
89,ts256_t17664,15.60,0.00,15.60,true
90,ts256_t17920,16.18,0.00,16.18,true
91,ts256_t18176,17.10,0.00,17.10,true
92,ts256_t18432,16.42,0.00,16.42,true
93,t14336_c15,16.40,0.00,16.40,true
94,t14336_c16,15.84,0.00,15.84,true
95,t14336_c17,16.34,0.00,16.34,true
96,t14336_c18,16.66,0.00,16.66,true
97,t14336_c19,16.54,0.00,16.54,true
98,t14336_c20,17.52,0.00,17.52,true
99,t14336_c21,16.82,0.00,16.82,true
100,t14336_c22,16.38,0.00,16.38,true
101,t14336_c23,17.22,0.00,17.22,true
102,t14336_c24,17.26,0.00,17.26,true
103,t14336_c25,16.72,0.00,16.72,true
104,t18432_c15,16.54,0.00,16.54,true
105,t18432_c16,16.10,0.00,16.10,true
106,t18432_c17,16.14,0.00,16.14,true
107,t18432_c18,17.18,0.00,17.18,true
108,t18432_c19,16.58,0.00,16.58,true
109,t18432_c20,15.82,0.00,15.82,true
110,t18432_c21,16.88,0.00,16.88,true
111,t18432_c22,16.76,0.00,16.76,true
112,t18432_c23,16.82,0.00,16.82,true
113,t18432_c24,17.06,0.00,17.06,true
114,t18432_c25,16.94,0.00,16.94,true
115,t12288_c15,16.66,0.00,16.66,true
116,t12288_c16,16.52,0.00,16.52,true
117,t12288_c17,15.90,0.00,15.90,true
118,t12288_c18,16.06,0.00,16.06,true
119,t12288_c19,16.32,0.00,16.32,true
120,t12288_c20,16.76,0.00,16.76,true
121,t12288_c21,16.34,0.00,16.34,true
122,t12288_c22,16.76,0.00,16.76,true
123,t12288_c23,16.16,0.00,16.16,true
124,t12288_c24,16.48,0.00,16.48,true
125,t12288_c25,16.00,0.00,16.00,true
126,t20480_c15,17.14,0.00,17.14,true
127,t20480_c16,17.14,0.00,17.14,true
128,t20480_c17,16.58,0.00,16.58,true
129,t20480_c18,16.86,0.00,16.86,true
130,t20480_c19,16.60,0.00,16.60,true
131,t20480_c20,16.42,0.00,16.42,true
132,t20480_c21,16.78,0.00,16.78,true
133,t20480_c22,16.54,0.00,16.54,true
134,t20480_c23,16.84,0.00,16.84,true
135,t20480_c24,15.86,0.00,15.86,true
136,t20480_c25,17.38,0.00,17.38,true
137,ts128_t16000,17.76,0.00,17.76,true
138,ts128_t16128,16.98,0.00,16.98,true
139,ts128_t16256,16.60,0.00,16.60,true
140,ts128_t16384,17.06,0.00,17.06,true
141,ts128_t16512,16.38,0.00,16.38,true
142,ts128_t16640,17.28,0.00,17.28,true
143,ts128_t16768,17.58,0.00,17.58,true
144,ts128_t16896,17.16,0.00,17.16,true
145,ts128_t17024,17.24,0.00,17.24,true
146,ts128b_t15000,17.00,0.00,17.00,true
147,ts128b_t15128,16.92,0.00,16.92,true
148,ts128b_t15256,17.24,0.00,17.24,true
149,ts128b_t15384,16.76,0.00,16.76,true
150,ts128b_t15512,16.58,0.00,16.58,true
151,ts128b_t15640,16.98,0.00,16.98,true
152,ts128b_t15768,16.58,0.00,16.58,true
153,ts128b_t15896,16.96,0.00,16.96,true
154,dim14_c15,16.68,0.00,16.68,true
155,dim14_c16,17.00,0.00,17.00,true
156,dim14_c17,17.34,0.00,17.34,true
157,dim14_c18,16.90,0.00,16.90,true
158,dim14_c19,16.98,0.00,16.98,true
159,dim14_c20,16.94,0.00,16.94,true
160,dim14_c21,16.86,0.00,16.86,true
161,dim14_c22,16.94,0.00,16.94,true
162,dim14_c23,16.94,0.00,16.94,true
163,dim14_c24,16.72,0.00,16.72,true
164,dim14_c25,17.02,0.00,17.02,true
165,dim16_c15,12.14,0.00,12.14,true
166,dim16_c16,11.66,0.00,11.66,true
167,dim16_c17,11.46,0.00,11.46,true
168,dim16_c18,12.22,0.00,12.22,true
169,dim16_c19,11.54,0.00,11.54,true
170,dim16_c20,11.76,0.00,11.76,true
171,dim16_c21,12.90,0.00,12.90,true
172,dim16_c22,11.68,0.00,11.68,true
173,dim16_c23,12.22,0.00,12.22,true
174,dim16_c24,11.54,0.00,11.54,true
175,dim16_c25,11.62,0.00,11.62,true
176,dim18_c15,12.56,0.00,12.56,true
177,dim18_c16,11.62,0.00,11.62,true
178,dim18_c17,12.54,0.00,12.54,true
179,dim18_c18,11.54,0.00,11.54,true
180,dim18_c19,12.22,0.00,12.22,true
181,dim18_c20,12.68,0.00,12.68,true
182,dim18_c21,11.68,0.00,11.68,true
183,dim18_c22,11.44,0.00,11.44,true
184,dim18_c23,12.32,0.00,12.32,true
185,dim18_c24,11.84,0.00,11.84,true
186,dim18_c25,12.04,0.00,12.04,true
187,dim20_c15,11.52,0.00,11.52,true
188,dim20_c16,11.60,0.00,11.60,true
189,dim20_c17,11.98,0.00,11.98,true
190,dim20_c18,11.62,0.00,11.62,true
191,dim20_c19,12.94,0.00,12.94,true
192,dim20_c20,11.72,0.00,11.72,true
193,dim20_c21,11.24,0.00,11.24,true
194,dim20_c22,12.30,0.00,12.30,true
195,dim20_c23,11.94,0.00,11.94,true
196,dim20_c24,12.30,0.00,12.30,true
197,dim20_c25,12.54,0.00,12.54,true
198,dim22_c15,17.10,0.00,17.10,true
199,dim22_c16,16.60,0.00,16.60,true
200,dim22_c17,17.24,0.00,17.24,true
201,dim22_c18,16.12,0.00,16.12,true
202,dim22_c19,16.84,0.00,16.84,true
203,dim22_c20,16.22,0.00,16.22,true
204,dim22_c21,16.26,0.00,16.26,true
205,dim22_c22,17.42,0.00,17.42,true
206,dim22_c23,16.28,0.00,16.28,true
207,dim22_c24,17.06,0.00,17.06,true
208,dim22_c25,16.40,0.00,16.40,true
209,db_ts256_t4096,16.36,0.00,16.36,true
210,db_ts256_t4352,16.56,0.00,16.56,true
211,db_ts256_t4608,17.16,0.00,17.16,true
212,db_ts256_t4864,16.78,0.00,16.78,true
213,db_ts256_t5120,16.42,0.00,16.42,true
214,db_ts256_t5376,16.72,0.00,16.72,true
215,db_ts256_t5632,17.30,0.00,17.30,true
216,db_ts256_t5888,17.20,0.00,17.20,true
217,db_ts256_t6144,16.46,0.00,16.46,true
218,db_ts256_t6400,16.86,0.00,16.86,true
219,db_ts256_t6656,16.92,0.00,16.92,true
220,db_ts256_t6912,16.52,0.00,16.52,true
221,db_ts256_t7168,16.86,0.00,16.86,true
222,db_ts256_t7424,17.20,0.00,17.20,true
223,db_ts256_t7680,16.60,0.00,16.60,true
224,db_ts256_t7936,17.10,0.00,17.10,true
225,db_ts256_t8192,16.98,0.00,16.98,true
226,db_ts256_t8448,16.70,0.00,16.70,true
227,db_ts256_t8704,17.06,0.00,17.06,true
228,db_ts256_t8960,17.00,0.00,17.00,true
229,db_ts256_t9216,16.74,0.00,16.74,true
230,db_ts256_t9472,16.94,0.00,16.94,true
231,db_ts256_t9728,17.08,0.00,17.08,true
232,db_ts256_t9984,16.36,0.00,16.36,true
233,db_ts256_t10240,17.10,0.00,17.10,true
234,db_ts256_t10496,17.12,0.00,17.12,true
235,db_ts256_t10752,17.12,0.00,17.12,true
236,db_ts256_t11008,15.92,0.00,15.92,true
237,db_ts256_t11264,16.54,0.00,16.54,true
238,db_ts256_t11520,17.30,0.00,17.30,true
239,db_ts256_t11776,17.36,0.00,17.36,true
240,db_ts256_t12032,15.88,0.00,15.88,true
241,db_ts256_t12288,17.04,0.00,17.04,true
242,xp_t10240_c16,16.62,0.00,16.62,true
243,xp_t10240_c17,16.98,0.00,16.98,true
244,xp_t10240_c18,16.64,0.00,16.64,true
245,xp_t10240_c19,17.04,0.00,17.04,true
246,xp_t10240_c20,17.42,0.00,17.42,true
247,xp_t10240_c21,17.88,0.00,17.88,true
248,xp_t10240_c22,16.78,0.00,16.78,true
249,xp_t10240_c23,16.22,0.00,16.22,true
250,xp_t12288_c16,16.92,0.00,16.92,true
251,xp_t12288_c17,17.10,0.00,17.10,true
252,xp_t12288_c18,16.22,0.00,16.22,true
253,xp_t12288_c19,16.78,0.00,16.78,true
254,xp_t12288_c20,16.64,0.00,16.64,true
255,xp_t12288_c21,16.16,0.00,16.16,true
256,xp_t12288_c22,16.66,0.00,16.66,true
257,xp_t12288_c23,17.02,0.00,17.02,true
258,xp_t14336_c16,16.34,0.00,16.34,true
259,xp_t14336_c17,16.20,0.00,16.20,true
260,xp_t14336_c18,17.10,0.00,17.10,true
261,xp_t14336_c19,15.70,0.00,15.70,true
262,xp_t14336_c20,16.34,0.00,16.34,true
263,xp_t14336_c21,16.92,0.00,16.92,true
264,xp_t14336_c22,16.30,0.00,16.30,true
265,xp_t14336_c23,15.90,0.00,15.90,true
266,xp_t15360_c16,16.02,0.00,16.02,true
267,xp_t15360_c17,17.22,0.00,17.22,true
268,xp_t15360_c18,17.26,0.00,17.26,true
269,xp_t15360_c19,16.38,0.00,16.38,true
270,xp_t15360_c20,15.90,0.00,15.90,true
271,xp_t15360_c21,17.70,0.00,17.70,true
272,xp_t15360_c22,17.12,0.00,17.12,true
273,xp_t15360_c23,16.52,0.00,16.52,true
274,xp_t16384_c16,17.12,0.00,17.12,true
275,xp_t16384_c17,16.88,0.00,16.88,true
276,xp_t16384_c18,16.56,0.00,16.56,true
277,xp_t16384_c19,16.48,0.00,16.48,true
278,xp_t16384_c20,16.56,0.00,16.56,true
279,xp_t16384_c21,16.78,0.00,16.78,true
280,xp_t16384_c22,16.66,0.00,16.66,true
281,xp_t16384_c23,16.82,0.00,16.82,true
282,xp_t17408_c16,16.24,0.00,16.24,true
283,xp_t17408_c17,17.42,0.00,17.42,true
284,xp_t17408_c18,16.62,0.00,16.62,true
285,xp_t17408_c19,17.60,0.00,17.60,true
286,xp_t17408_c20,16.76,0.00,16.76,true
287,xp_t17408_c21,17.06,0.00,17.06,true
288,xp_t17408_c22,17.08,0.00,17.08,true
289,xp_t17408_c23,16.60,0.00,16.60,true
290,xp_t18432_c16,16.84,0.00,16.84,true
291,xp_t18432_c17,17.14,0.00,17.14,true
292,xp_t18432_c18,16.44,0.00,16.44,true
293,xp_t18432_c19,17.74,0.00,17.74,true
294,xp_t18432_c20,16.78,0.00,16.78,true
295,xp_t18432_c21,17.18,0.00,17.18,true
296,xp_t18432_c22,17.34,0.00,17.34,true
297,xp_t18432_c23,16.68,0.00,16.68,true
298,xp_t20480_c16,17.44,0.00,17.44,true
299,xp_t20480_c17,17.14,0.00,17.14,true
300,xp_t20480_c18,16.86,0.00,16.86,true
301,xp_t20480_c19,16.26,0.00,16.26,true
302,xp_t20480_c20,16.04,0.00,16.04,true
303,xp_t20480_c21,16.84,0.00,16.84,true
304,xp_t20480_c22,16.18,0.00,16.18,true
305,xp_t20480_c23,17.40,0.00,17.40,true
306,final_stability_1,16.74,0.00,16.74,true
307,final_stability_2,16.64,0.00,16.64,true
308,final_stability_3,16.86,0.00,16.86,true
309,final_stability_4,17.62,0.00,17.62,true
310,final_stability_5,16.46,0.00,16.46,true
311,final_stability_6,17.14,0.00,17.14,true
312,final_stability_7,17.02,0.00,17.02,true
313,final_stability_8,17.00,0.00,17.00,true
314,final_stability_9,17.66,0.00,17.66,true
315,final_stability_10,16.70,0.00,16.70,true
316,final_stability_11,17.38,0.00,17.38,true
317,final_stability_12,17.06,0.00,17.06,true
318,final_stability_13,17.28,0.00,17.28,true
319,final_stability_14,15.72,0.00,15.72,true
320,final_stability_15,16.60,0.00,16.60,true
321,final_stability_16,17.20,0.00,17.20,true
322,final_stability_17,16.46,0.00,16.46,true
323,final_stability_18,16.62,0.00,16.62,true
324,final_stability_19,16.70,0.00,16.70,true
325,final_stability_20,16.70,0.00,16.70,true
