iter,description,matmul_us,leakyrelu_us,total_us,correct
64,n_mult_1_tile640,16.72,0.00,16.72,true
65,n_mult_2_tile1280,16.68,0.00,16.68,true
66,n_mult_4_tile2560,16.80,0.00,16.80,true
67,n_mult_5_tile3200,16.52,0.00,16.52,true
68,n_mult_8_tile5120,16.62,0.00,16.62,true
69,n_mult_10_tile6400,17.40,0.00,17.40,true
70,n_mult_16_tile10240,15.28,0.00,15.28,true
71,n_mult_20_tile12800,16.56,0.00,16.56,true
72,n_mult_25_tile16000,15.94,0.00,15.94,true
73,n_mult_32_tile20480,16.92,0.00,16.92,true
74,scn_mult_4_tile1280,17.26,0.00,17.26,true
75,scn_mult_8_tile2560,17.02,0.00,17.02,true
76,scn_mult_16_tile5120,16.26,0.00,16.26,true
77,scn_mult_32_tile10240,17.34,0.00,17.34,true
78,scn_mult_48_tile15360,16.18,0.00,16.18,true
79,scn_mult_64_tile20480,16.40,0.00,16.40,true
80,scn_mult_76_tile24320,15.38,0.00,15.38,true
81,bmbn_div1_tile24576,16.40,0.00,16.40,true
82,bmbn_div2_tile12288,16.70,0.00,16.70,true
83,bmbn_div3_tile8192,17.06,0.00,17.06,true
84,bmbn_div4_tile6144,16.54,0.00,16.54,true
85,bmbn_div6_tile4096,17.06,0.00,17.06,true
86,bmbn_div8_tile3072,16.62,0.00,16.62,true
87,bmbn_div12_tile2048,17.14,0.00,17.14,true
88,bmbn_div16_tile1536,17.10,0.00,17.10,true
89,bmbn_div24_tile1024,16.52,0.00,16.52,true
90,pow2x8_tile1024,16.22,0.00,16.22,true
91,pow2x8_tile2048,15.64,0.00,15.64,true
92,pow2x8_tile4096,16.70,0.00,16.70,true
93,pow2x8_tile8192,16.42,0.00,16.42,true
94,pow2x8_tile16384,16.24,0.00,16.24,true
95,pow2x8_tile24576,16.24,0.00,16.24,true
96,percore_div2_tile16384,16.32,0.00,16.32,true
97,percore_div4_tile8192,15.54,0.00,15.54,true
98,percore_div8_tile4096,16.48,0.00,16.48,true
99,percore_div16_tile2048,16.52,0.00,16.52,true
100,percore_div32_tile1024,17.72,0.00,17.72,true
101,even_div_c1,16.14,0.00,16.14,true
102,even_div_c2,16.74,0.00,16.74,true
103,even_div_c4,16.78,0.00,16.78,true
104,even_div_c5,16.30,0.00,16.30,true
105,even_div_c8,17.22,0.00,17.22,true
106,even_div_c10,16.54,0.00,16.54,true
