iter,description,matmul_us,leakyrelu_us,total_us,correct
37,fine_tile_15360,16.40,9.82,26.22,true
38,fine_tile_15616,16.00,9.32,25.32,true
39,fine_tile_15872,16.22,9.24,25.46,true
40,fine_tile_16128,16.82,8.92,25.74,true
41,fine_tile_16384,16.34,8.40,24.74,true
42,fine_tile_16640,15.82,9.26,25.08,true
43,fine_tile_16896,15.30,8.18,23.48,true
44,fine_tile_17152,16.34,9.68,26.02,true
45,fine_tile_17408,15.22,10.14,25.36,true
46,fine_cores_17,16.02,9.16,25.18,true
47,fine_cores_18,15.92,9.26,25.18,true
48,fine_cores_19,15.84,9.90,25.74,true
49,fine_cores_20,16.04,9.24,25.28,true
50,fine_cores_21,16.38,8.80,25.18,true
51,fine_cores_22,15.26,9.58,24.84,true
52,fine_cores_23,15.88,9.48,25.36,true
53,ref_single_buf,15.80,8.22,24.02,true
54,alpha_0.0001f,16.58,8.70,25.28,false
55,alpha_0.001f,15.30,9.22,24.52,true
56,alpha_0.01f,16.14,9.18,25.32,false
57,alpha_0.1f,15.62,9.32,24.94,false
58,l0c_32768,15.16,8.34,23.50,true
59,l0c_65536,15.10,8.80,23.90,true
60,l0c_131072,16.40,9.30,25.70,true
61,ub_65536,15.94,9.40,25.34,true
62,ub_98304,15.36,9.42,24.78,true
63,ub_131072,16.00,8.42,24.42,true
64,ub_196608,15.92,9.08,25.00,true
65,l1131072_ub98304,15.90,8.84,24.74,true
66,l1131072_ub131072,16.32,9.94,26.26,true
67,l1131072_ub196608,16.02,9.12,25.14,true
68,l1262144_ub98304,16.52,8.78,25.30,true
69,l1262144_ub131072,16.12,8.82,24.94,true
70,l1262144_ub196608,16.08,9.52,25.60,true
71,l1524288_ub98304,15.96,9.02,24.98,true
72,l1524288_ub131072,15.80,9.26,25.06,true
73,l1524288_ub196608,15.98,8.86,24.84,true
74,align_tile_16000,15.38,8.44,23.82,true
75,align_tile_16256,16.20,8.32,24.52,true
76,align_tile_16384,17.04,8.72,25.76,true
77,align_tile_16512,15.88,9.18,25.06,true
78,align_tile_16768,15.12,8.52,23.64,true
79,ref_run_1,15.94,9.90,25.84,true
80,ref_run_2,16.62,8.66,25.28,true
81,ref_run_3,16.72,9.58,26.30,true
82,ref_run_4,15.92,9.32,25.24,true
83,ref_run_5,15.90,8.52,24.42,true
84,small_tile_1024,16.62,17.02,33.64,true
85,small_tile_2048,16.36,12.02,28.38,true
86,small_tile_3072,16.00,11.08,27.08,true
87,small_tile_4096,16.42,9.84,26.26,true
88,small_tile_5120,16.98,9.46,26.44,true
89,extreme_cores_1,15.96,43.58,59.54,true
90,extreme_cores_2,16.08,27.82,43.90,true
91,extreme_cores_3,17.46,23.50,40.96,true
92,extreme_cores_4,15.98,16.26,32.24,true
93,extreme_cores_5,15.66,13.20,28.86,true
94,extreme_cores_35,15.98,12.16,28.14,true
95,extreme_cores_40,16.98,16.88,33.86,true
96,st2048_c5,15.84,27.90,43.74,true
97,st2048_c10,15.44,16.84,32.28,true
98,st2048_c20,15.82,12.34,28.16,true
99,st2048_c30,15.74,12.86,28.60,true
100,st2048_c40,16.00,15.90,31.90,true
101,st4096_c5,15.72,19.38,35.10,true
102,st4096_c10,14.74,12.30,27.04,true
103,st4096_c20,15.96,9.66,25.62,true
104,st4096_c30,15.86,11.28,27.14,true
105,st4096_c40,15.24,13.70,28.94,true
106,st8192_c5,16.18,15.10,31.28,true
107,st8192_c10,15.76,10.46,26.22,true
108,st8192_c20,16.28,9.72,26.00,true
109,st8192_c30,16.30,11.62,27.92,true
110,st8192_c40,16.04,13.02,29.06,true
