iter,description,matmul_us,leakyrelu_us,total_us,correct
98,ultra_fine_t15872_c19,16.20,0.00,16.20,true
99,ultra_fine_t15872_c20,16.48,0.00,16.48,true
100,ultra_fine_t15872_c21,17.02,0.00,17.02,true
101,ultra_fine_t15936_c19,16.30,0.00,16.30,true
102,ultra_fine_t15936_c20,16.68,0.00,16.68,true
103,ultra_fine_t15936_c21,17.24,0.00,17.24,true
104,ultra_fine_t16000_c19,17.22,0.00,17.22,true
105,ultra_fine_t16000_c20,16.22,0.00,16.22,true
106,ultra_fine_t16000_c21,17.32,0.00,17.32,true
107,ultra_fine_t16064_c19,17.10,0.00,17.10,true
108,ultra_fine_t16064_c20,16.78,0.00,16.78,true
109,ultra_fine_t16064_c21,17.08,0.00,17.08,true
110,ultra_fine_t16128_c19,17.16,0.00,17.16,true
111,ultra_fine_t16128_c20,17.24,0.00,17.24,true
112,ultra_fine_t16128_c21,16.22,0.00,16.22,true
113,ultra_fine_t16192_c19,16.60,0.00,16.60,true
114,ultra_fine_t16192_c20,17.00,0.00,17.00,true
115,ultra_fine_t16192_c21,16.94,0.00,16.94,true
116,ultra_fine_t16256_c19,16.64,0.00,16.64,true
117,ultra_fine_t16256_c20,17.64,0.00,17.64,true
118,ultra_fine_t16256_c21,16.90,0.00,16.90,true
119,ultra_fine_t16320_c19,17.14,0.00,17.14,true
120,ultra_fine_t16320_c20,17.44,0.00,17.44,true
121,ultra_fine_t16320_c21,17.96,0.00,17.96,true
122,ultra_fine_t16384_c19,16.62,0.00,16.62,true
123,ultra_fine_t16384_c20,17.70,0.00,17.70,true
124,ultra_fine_t16384_c21,16.74,0.00,16.74,true
125,ultra_fine_t16448_c19,16.36,0.00,16.36,true
126,ultra_fine_t16448_c20,16.64,0.00,16.64,true
127,ultra_fine_t16448_c21,17.42,0.00,17.42,true
128,ultra_fine_t16512_c19,16.70,0.00,16.70,true
129,ultra_fine_t16512_c20,17.22,0.00,17.22,true
130,ultra_fine_t16512_c21,16.72,0.00,16.72,true
131,firstn_dim2_v2,40.60,0.00,40.60,true
132,firstn_dim3_v2,38.38,0.00,38.38,true
133,firstn_dim4_v2,41.32,0.00,41.32,true
134,firstn_dim5_v2,15.52,0.00,15.52,true
135,firstn_dim6_v2,15.22,0.00,15.22,true
136,firstn_dim7_v2,15.84,0.00,15.84,true
137,firstn_dim8_v2,13.94,0.00,13.94,true
138,firstn_dim9_v2,11.34,0.00,11.34,true
139,firstn_dim10_v2,15.56,0.00,15.56,true
140,firstn_dim11_v2,12.66,0.00,12.66,true
141,firstn_dim12_v2,12.50,0.00,12.50,true
142,firstn_dim13_v2,16.24,0.00,16.24,true
143,firstn_dim14_v2,17.54,0.00,17.54,true
144,firstn_dim15_v2,16.04,0.00,16.04,true
145,firstn_dim16_v2,11.76,0.00,11.76,true
146,firstn_dim17_v2,12.72,0.00,12.72,true
147,firstn_dim18_v2,12.08,0.00,12.08,true
148,firstn_dim19_v2,11.54,0.00,11.54,true
149,firstn_dim20_v2,11.68,0.00,11.68,true
150,firstm_dim2_v2,45.10,0.00,45.10,true
151,firstm_dim3_v2,35.16,0.00,35.16,true
152,firstm_dim4_v2,44.22,0.00,44.22,true
153,firstm_dim5_v2,18.34,0.00,18.34,true
154,firstm_dim6_v2,15.96,0.00,15.96,true
155,firstm_dim7_v2,17.98,0.00,17.98,true
156,firstm_dim8_v2,13.74,0.00,13.74,true
157,firstm_dim9_v2,10.40,0.00,10.40,true
158,firstm_dim10_v2,17.16,0.00,17.16,true
159,firstm_dim11_v2,12.20,0.00,12.20,true
160,firstm_dim12_v2,13.96,0.00,13.96,true
161,firstm_dim13_v2,17.08,0.00,17.08,true
162,firstm_dim14_v2,17.06,0.00,17.06,true
163,firstm_dim15_v2,17.16,0.00,17.16,true
164,firstm_dim16_v2,11.58,0.00,11.58,true
165,firstm_dim17_v2,11.72,0.00,11.72,true
166,firstm_dim18_v2,11.56,0.00,11.56,true
167,firstm_dim19_v2,13.36,0.00,13.36,true
168,firstm_dim20_v2,11.44,0.00,11.44,true
169,firstm_dim21_v2,12.22,0.00,12.22,true
170,firstm_dim22_v2,16.14,0.00,16.14,true
171,db_fine_t5120,16.86,0.00,16.86,true
172,db_fine_t5632,17.58,0.00,17.58,true
173,db_fine_t6144,16.94,0.00,16.94,true
174,db_fine_t6656,16.04,0.00,16.04,true
175,db_fine_t7168,16.52,0.00,16.52,true
176,db_fine_t7680,16.04,0.00,16.04,true
177,db_fine_t8192,16.56,0.00,16.56,true
178,db_fine_t8704,15.84,0.00,15.84,true
179,db_fine_t9216,17.00,0.00,17.00,true
180,db_fine_t9728,16.36,0.00,16.36,true
181,db_fine_t10240,17.08,0.00,17.08,true
182,l1_98304,17.40,0.00,17.40,true
183,l1_131072,16.60,0.00,16.60,true
184,l1_163840,16.22,0.00,16.22,true
185,l1_196608,16.30,0.00,16.30,true
186,l1_229376,17.64,0.00,17.64,true
187,l1_262144,16.56,0.00,16.56,true
188,l1_327680,16.78,0.00,16.78,true
189,l1_393216,16.18,0.00,16.18,true
190,ub_65536,16.70,0.00,16.70,true
191,ub_81920,17.02,0.00,17.02,true
192,ub_98304,17.12,0.00,17.12,true
193,ub_114688,17.04,0.00,17.04,true
194,ub_131072,16.54,0.00,16.54,true
195,ub_147456,16.38,0.00,16.38,true
196,ub_163840,17.24,0.00,17.24,true
197,ub_196608,15.52,0.00,15.52,true
198,final_run_198,15.94,0.00,15.94,true
199,final_run_199,16.50,0.00,16.50,true
200,final_run_200,16.80,0.00,16.80,true
