iter,description,matmul_us,leakyrelu_us,total_us,correct
58,fg_t8192_c10,16.28,0.00,16.28,true
59,fg_t8192_c12,16.80,0.00,16.80,true
60,fg_t8192_c14,16.84,0.00,16.84,true
61,fg_t8192_c16,17.10,0.00,17.10,true
62,fg_t8192_c18,17.00,0.00,17.00,true
63,fg_t8192_c20,16.64,0.00,16.64,true
64,fg_t8192_c22,16.38,0.00,16.38,true
65,fg_t8192_c24,16.58,0.00,16.58,true
66,fg_t8192_c26,17.52,0.00,17.52,true
67,fg_t8192_c28,17.44,0.00,17.44,true
68,fg_t8192_c30,16.36,0.00,16.36,true
69,fg_t10240_c10,16.96,0.00,16.96,true
70,fg_t10240_c12,16.10,0.00,16.10,true
71,fg_t10240_c14,16.06,0.00,16.06,true
72,fg_t10240_c16,16.08,0.00,16.08,true
73,fg_t10240_c18,17.00,0.00,17.00,true
74,fg_t10240_c20,16.80,0.00,16.80,true
75,fg_t10240_c22,16.18,0.00,16.18,true
76,fg_t10240_c24,16.16,0.00,16.16,true
77,fg_t10240_c26,16.30,0.00,16.30,true
78,fg_t10240_c28,16.44,0.00,16.44,true
79,fg_t10240_c30,16.66,0.00,16.66,true
80,fg_t12288_c10,15.78,0.00,15.78,true
81,fg_t12288_c12,16.88,0.00,16.88,true
82,fg_t12288_c14,16.84,0.00,16.84,true
83,fg_t12288_c16,16.94,0.00,16.94,true
84,fg_t12288_c18,15.96,0.00,15.96,true
85,fg_t12288_c20,15.70,0.00,15.70,true
86,fg_t12288_c22,16.18,0.00,16.18,true
87,fg_t12288_c24,16.96,0.00,16.96,true
88,fg_t12288_c26,16.90,0.00,16.90,true
89,fg_t12288_c28,16.22,0.00,16.22,true
90,fg_t12288_c30,16.44,0.00,16.44,true
91,fg_t14336_c10,16.30,0.00,16.30,true
92,fg_t14336_c12,16.28,0.00,16.28,true
93,fg_t14336_c14,16.40,0.00,16.40,true
94,fg_t14336_c16,16.18,0.00,16.18,true
95,fg_t14336_c18,16.40,0.00,16.40,true
96,fg_t14336_c20,17.30,0.00,17.30,true
97,fg_t14336_c22,16.28,0.00,16.28,true
98,fg_t14336_c24,17.16,0.00,17.16,true
99,fg_t14336_c26,16.70,0.00,16.70,true
100,fg_t14336_c28,17.34,0.00,17.34,true
101,fg_t14336_c30,16.96,0.00,16.96,true
102,fg_t16384_c10,16.12,0.00,16.12,true
103,fg_t16384_c12,16.98,0.00,16.98,true
104,fg_t16384_c14,16.74,0.00,16.74,true
105,fg_t16384_c16,16.60,0.00,16.60,true
106,fg_t16384_c18,16.98,0.00,16.98,true
107,fg_t16384_c20,16.62,0.00,16.62,true
108,fg_t16384_c22,16.98,0.00,16.98,true
