iter,description,matmul_us,leakyrelu_us,total_us,correct
60,tile_1024,17.14,0.00,17.14,true
61,tile_1536,17.64,0.00,17.64,true
62,tile_2048,17.20,0.00,17.20,true
63,tile_2560,17.80,0.00,17.80,true
64,tile_3072,16.96,0.00,16.96,true
65,tile_3584,17.06,0.00,17.06,true
66,tile_4096,17.08,0.00,17.08,true
67,tile_4608,17.16,0.00,17.16,true
68,tile_5120,17.46,0.00,17.46,true
69,tile_5632,17.76,0.00,17.76,true
70,tile_6144,16.68,0.00,16.68,true
71,tile_6656,17.32,0.00,17.32,true
72,tile_7168,17.06,0.00,17.06,true
73,tile_7680,17.58,0.00,17.58,true
74,tile_8192,17.30,0.00,17.30,true
75,tile_8704,17.62,0.00,17.62,true
76,tile_9216,16.86,0.00,16.86,true
77,tile_9728,16.96,0.00,16.96,true
78,tile_10240,17.50,0.00,17.50,true
79,tile_10752,16.64,0.00,16.64,true
80,tile_11264,17.96,0.00,17.96,true
81,tile_11776,17.12,0.00,17.12,true
82,tile_12288,17.06,0.00,17.06,true
83,tile_12800,17.70,0.00,17.70,true
84,tile_13312,17.46,0.00,17.46,true
85,tile_13824,17.64,0.00,17.64,true
86,tile_14336,17.82,0.00,17.82,true
87,tile_14848,16.86,0.00,16.86,true
88,tile_15360,17.72,0.00,17.72,true
89,tile_15872,17.26,0.00,17.26,true
90,tile_16384,17.40,0.00,17.40,true
91,tile_16896,17.08,0.00,17.08,true
92,tile_17408,17.34,0.00,17.34,true
93,tile_17920,17.54,0.00,17.54,true
94,tile_18432,17.24,0.00,17.24,true
95,tile_18944,17.32,0.00,17.32,true
96,tile_19456,17.20,0.00,17.20,true
97,tile_19968,17.50,0.00,17.50,true
98,tile_20480,17.32,0.00,17.32,true
99,tile_20992,17.66,0.00,17.66,true
100,tile_21504,17.82,0.00,17.82,true
101,tile_22016,17.08,0.00,17.08,true
102,tile_22528,17.38,0.00,17.38,true
103,tile_23040,16.76,0.00,16.76,true
104,tile_23552,17.42,0.00,17.42,true
105,tile_24064,17.14,0.00,17.14,true
106,tile_24576,17.48,0.00,17.48,true
107,cores_1,17.04,0.00,17.04,true
108,cores_2,16.34,0.00,16.34,true
109,cores_3,16.00,0.00,16.00,true
110,cores_4,15.98,0.00,15.98,true
111,cores_5,16.88,0.00,16.88,true
112,cores_6,16.42,0.00,16.42,true
113,cores_7,17.20,0.00,17.20,true
114,cores_8,16.58,0.00,16.58,true
115,cores_9,16.62,0.00,16.62,true
116,cores_10,17.00,0.00,17.00,true
117,cores_11,16.48,0.00,16.48,true
