iter,description,matmul_us,leakyrelu_us,total_us,correct
24,tile_8192,16.48,9.04,25.52,true
25,tile_9216,15.56,8.90,24.46,true
26,tile_10240,15.94,9.22,25.16,true
27,tile_11264,15.44,9.20,24.64,true
28,tile_12288,15.62,8.24,23.86,true
29,tile_13312,16.54,9.08,25.62,true
30,tile_14336,15.44,9.22,24.66,true
31,tile_15360,15.64,9.64,25.28,true
32,tile_16384,16.54,8.34,24.88,true
33,tile_17408,16.34,8.88,25.22,true
34,tile_18432,15.68,8.68,24.36,true
35,tile_19456,16.56,8.26,24.82,true
36,tile_20480,15.88,9.96,25.84,true
37,tile_21504,0.00,0.00,0.00,true
38,tile_22528,16.24,9.16,25.40,true
39,tile_23552,15.30,9.02,24.32,true
40,tile_24576,16.64,8.60,25.24,true
41,cores_8,15.60,10.40,26.00,true
43,cores_10,14.90,9.54,24.44,true
45,cores_12,16.04,9.76,25.80,true
47,cores_14,16.44,8.88,25.32,true
49,cores_16,15.82,8.24,24.06,true
50,cores_17,16.32,8.82,25.14,true
51,cores_18,15.62,9.38,25.00,false
52,cores_19,16.46,9.16,25.62,true
53,cores_20,16.08,8.26,24.34,true
54,cores_21,16.00,8.48,24.48,true
55,cores_22,15.80,8.80,24.60,true
57,cores_24,16.30,10.06,26.36,true
59,cores_26,15.72,11.58,27.30,true
61,cores_28,16.38,10.16,26.54,true
63,cores_30,15.04,11.30,26.34,true
56,firstn_dim10,16.52,9.38,25.90,true
61,firstn_dim15,16.12,9.56,25.68,true
66,firstn_dim20,15.48,8.56,24.04,true
68,firstn_dim22,16.48,9.78,26.26,true
