iter,description,matmul_us,leakyrelu_us,total_us,correct
28,tile_7680_c20,16.24,8.76,25.00,true
29,tile_8704_c20,15.70,9.62,25.32,true
30,tile_9728_c20,15.76,8.84,24.60,true
31,tile_10752_c20,16.74,9.06,25.80,true
32,tile_11776_c20,16.14,8.94,25.08,true
33,tile_12800_c20,15.80,8.26,24.06,true
34,tile_13824_c20,15.52,8.24,23.76,true
35,tile_14848_c20,16.42,9.22,25.64,true
36,tile_15872_c20,16.70,9.28,25.98,true
37,tile_16896_c20,16.62,9.30,25.92,true
38,tile_17920_c20,16.24,9.92,26.16,true
39,tile_18944_c20,16.12,8.30,24.42,true
40,pow2_tile_2048,16.28,12.02,28.30,true
41,pow2_tile_4096,15.06,9.36,24.42,true
42,pow2_tile_8192,15.98,9.76,25.74,true
43,pow2_tile_16384,15.86,9.44,25.30,true
44,c1_t16384,15.82,43.12,58.94,true
45,c2_t16384,15.42,29.40,44.82,true
46,c3_t16384,16.04,22.10,38.14,true
47,c4_t16384,16.12,16.28,32.40,true
48,c5_t16384,15.88,13.94,29.82,true
49,c6_t16384,15.74,13.70,29.44,true
50,c7_t16384,17.18,12.92,30.10,true
51,c8_t16384,16.52,10.22,26.74,true
52,c9_t16384,16.36,11.52,27.88,true
53,c10_t16384,16.20,9.68,25.88,true
54,c11_t16384,16.42,10.54,26.96,true
55,c12_t16384,16.54,9.76,26.30,true
56,c13_t16384,15.62,10.52,26.14,true
57,c14_t16384,15.04,8.82,23.86,true
58,c15_t16384,16.60,8.88,25.48,true
59,c16_t16384,15.78,8.48,24.26,true
60,c17_t16384,16.74,9.16,25.90,true
61,c18_t16384,16.04,9.16,25.20,true
62,c19_t16384,15.66,8.74,24.40,true
63,c20_t16384,15.44,9.06,24.50,true
64,tile_24576_c20,16.50,9.26,25.76,true
65,tile_22528_c20,16.50,8.66,25.16,true
66,db_tile_2048,16.16,9.62,25.78,true
67,db_tile_3072,16.32,9.50,25.82,true
68,db_tile_4096,16.84,9.64,26.48,true
69,db_tile_5120,16.72,9.44,26.16,true
70,db_tile_6144,16.22,9.50,25.72,true
71,db_tile_7168,15.04,9.48,24.52,true
72,db_tile_8192,15.76,11.14,26.90,true
73,db_tile_9216,16.16,9.44,25.60,true
74,db_tile_10240,15.58,8.44,24.02,true
75,db_tile_11264,16.14,9.86,26.00,true
76,db_tile_12288,16.32,9.26,25.58,true
77,db_c10_t8192,16.34,9.72,26.06,true
78,db_c15_t8192,15.32,9.22,24.54,true
79,db_c20_t8192,16.04,8.80,24.84,true
80,db_c25_t8192,15.28,11.64,26.92,true
81,db_c30_t8192,16.16,11.90,28.06,true
82,large_t21504_c15,15.08,9.54,24.62,true
83,large_t21504_c20,15.62,9.64,25.26,true
84,large_t21504_c25,15.94,10.38,26.32,true
85,large_t22528_c15,15.24,9.58,24.82,true
86,large_t22528_c20,15.68,9.18,24.86,true
87,large_t22528_c25,16.32,10.70,27.02,true
88,large_t23552_c15,15.98,9.50,25.48,true
89,large_t23552_c20,15.52,8.70,24.22,true
90,large_t23552_c25,15.84,10.20,26.04,true
91,large_t24576_c15,16.56,8.78,25.34,true
92,large_t24576_c20,16.50,11.08,27.58,true
93,large_t24576_c25,16.54,12.68,29.22,true
94,mdim10_rc15,17.10,9.48,26.58,true
95,mdim10_rc20,17.90,8.96,26.86,true
96,mdim10_rc25,17.58,10.28,27.86,true
97,mdim15_rc15,17.22,9.84,27.06,true
98,mdim15_rc20,18.24,9.12,27.36,true
99,mdim15_rc25,16.98,10.76,27.74,true
100,mdim20_rc15,11.66,8.84,20.50,true
101,mdim20_rc20,11.44,9.12,20.56,true
102,mdim20_rc25,11.92,11.62,23.54,true
103,mdim22_rc15,15.36,9.08,24.44,true
104,mdim22_rc20,15.62,9.20,24.82,true
105,mdim22_rc25,15.88,11.76,27.64,true
106,l1_65536,0,0,0,false
107,l1_131072,16.06,9.58,25.64,true
108,l1_262144,16.44,8.46,24.90,true
