iter,runtime_us,speedup,status,label
0,3109.731,,baseline,原始 baseline（host matmul + 文件 I/O）
1,2949.848,,i/o dominated,
2,2949.298,,i/o dominated,
3,2953.89,,i/o dominated,
4,2988.211,,i/o dominated,
5,2990.559,,failed,
6,2946.893,,i/o dominated,
7,2905.708,,i/o dominated,
8,2948.491,,i/o dominated,
9,2912.104,,i/o dominated,
10,2905.651,,i/o dominated,
11,244.756,,bench 方法论,
12,12.881,,bench 方法论,
13,10.179,,bench 方法论,
14,3.429,,bench 方法论,
15,2.778,1.0,baseline,50-iter bench，pipeline BMMs+kernel
16,2.4,1.16,improved,GQA chunk sweep（4096→8192 最优）
17,2.315,1.2,improved,Softmax backward 公式优化
18,2.294,,failed,
19,2.22,1.25,improved,100-iteration bench
20,1.973,1.41,improved,Single-buffer TQue for Phase B
21,1.91,1.45,improved,Single-buffer GQA + chunk 16384 sweep
22,1.915,1.45,no-change,
23,1.767,1.57,improved,添加 profiling instrumentation
24,1.188,2.34,improved,Multi-row Phase B (4 rows/batch)
25,0.689,4.03,improved,Move D2H outside timing
26,0.54,5.14,improved,rows×chunk sweep（16 rows + chunk 8192）
27,0.533,5.21,improved,32 rows + chunk 4096
28,0.55,,no-change,
29,0.526,5.28,improved,aclrtEvent device timing
30,0.493,5.64,improved,ReduceSum 4x unroll
31,0.501,,no-change,
32,0.486,,no-change,
33,0.498,,no-change,
34,0.486,,failed,
35,0.488,5.69,no-change,
36,0.483,5.75,improved,Reorder Muls+Select
37,,,reverted,
38,,,reverted,
39,0.488,5.69,no-change,
40,0.434,6.4,improved,Two-stream BMM2 overlap with Phase B
41,0.442,,no-change,
42,0.442,,no-change,
43,0.418,6.65,improved,Axpy fused Muls+Sub
44,0.42,,no-change,
45,0.426,,no-change,
46,0.418,,no-change,
47,0.418,,no-change,
48,0.419,,no-change,
49,,,failed,
50,0.418,,no-change,
51,0.416,6.68,improved,Deferred dropout scale
52,0.479,,reverted,
53,0.413,6.73,improved,cubeMathType=1 (bf16 accumulation)
54,0.412,,no-change,
55,,,failed,
56,,,failed,
57,0.44,,reverted,
58,,,failed,
59,,,failed,
60,0.414,6.71,no-change,
61,0.466,,reverted,
62,0.408,6.81,improved,No per-iter sync（batch all iters）
63,0.46,,no-change,
64,,,analysis,
65,,,skipped,
66,0.414,,no-change,
67,0.458,,reverted,
68,0.408,6.81,no-change,
69,0.411,,no-change,
70,0.428,,reverted,
71,0.408,,no-change,
72,0.408,,no-change,
73,0.41,,no-change,
74,0.436,,reverted,
75,,,failed,
76,0.408,,no-change,
77,,,failed,
78,0.409,,no-change,
79,,,analysis,
80,0.408,,no-change,
81,,,analysis,
82,,,analysis,
83,,,analysis,
84,,,analysis,
85,,,analysis,
86,,,failed,
87,0.542,,reverted,
88,0.427,,reverted,
89,0.442,,reverted,
90,0.411,,no-change,
91,0.407,6.83,no-change,
92,,,analysis,
93,,,analysis,
94,0.428,,reverted,
95,,,failed,
96,0.463,,reverted,
97,0.412,,no-change,
98,,,failed,
99,,,analysis,
100,0.409,,no-change,
101,0.412,,no-change,
102,,,no-change,
103,,,analysis,
104,,,analysis,
105,0.411,,analysis,
106,,,analysis,
107,0.436,,reverted,
108,0.437,,reverted,
109,0.439,,reverted,
110,0.409,,no-change,
111,,,failed,
112,0.415,,no-change,
113,0.438,,reverted,
114,0.44,,reverted,
115,0.552,,reverted,
116,0.406,6.84,marginal,
117,0.407,,no-change,
118,0.397,,failed,
119,0.406,,no-change,
120,0.41,,no-change,
121,0.402,6.91,improved,Cross-iter Phase D overlap: Phase D on s
122,0.406,,reverted,
123,0.405,,no-change,
124,0.406,,reverted,
125,0.404,,no-change,
126,0.404,,no-change,
127,,,analysis,
128,0.366,,failed,
129,,,analysis,
130,0.405,,no-change,
131,0.403,,analysis,
132,0.398,6.98,improved,Phase D with 32 cores (match totalKV) in
133,0.397,,no-change,
134,,,analysis,
135,0.361,,reverted,
136,0.399,,no-change,
137,0.344,8.08,improved,Pattern ReduceSum AR for batch row reduc
138,0.355,,reverted,
139,0.341,8.15,improved,Pattern tmp buffer sweep (2KB/4KB/8KB/16
140,0.38,,reverted,
141,0.348,,reverted,
142,0.345,,no-change,
143,0.347,,no-change,
144,0.394,,reverted,
145,0.341,,no-change,
146,0.344,,no-change,
147,,,analysis,
148,0.277,10.03,improved,BMM1 outputs bf16: eliminates Cast sub-t
149,0.203,13.68,improved,BMM2 outputs bf16: eliminates Cast sub-t
150,,,analysis,
151,0.2,,no-change,
152,0.203,13.69,no-change,
153,0.203,,no-change,
154,0.226,,reverted,
155,0.21,13.23,analysis,
156,0.202,13.75,improved,"Remove BMM1→BMM2 event, launch BMM2 firs"
157,0.205,,no-change,
158,,,analysis,
159,0.203,,no-change,
160,0.196,14.17,improved,5000-iter bench: 0.196ms stable (N=5000 
161,0.198,14.03,marginal,
162,0.209,,no-change,
163,,,analysis,
164,,,analysis,
165,0.202,,no-change,
166,0.207,,reverted,
167,0.229,,reverted,
168,0.226,,analysis,
169,0.205,,no-change,
170,0.197,14.1,no-change,
171,0.189,14.7,analysis,
172,0.201,13.83,measurement,
173,0.205,,no-change,
174,0.221,,reverted,
175,0.218,,reverted,
176,,,failed,
177,0.206,,no-change,
178,0.197,14.1,no-change,
179,0.205,,reverted,
180,0.204,13.62,analysis,
181,,,analysis,
182,0.204,,no-change,
183,0.206,13.49,analysis,
184,,,analysis,
185,0.213,,reverted,
186,0.211,,reverted,
187,0.206,,no-change,
188,,,analysis,
189,0.207,,no-change,
190,0.203,,no-change,
191,0.201,13.82,measurement,
192,,,analysis,
193,,,analysis,
194,,,analysis,
195,0.204,,no-change,
196,0.212,,reverted,
197,0.254,,reverted,
198,,,analysis,
199,0.204,13.62,no-change,
200,0.203,13.69,final,
