iter,runtime_us,speedup,status,label
1,180400.0,1.0,baseline,Profiling baseline
2,112300.0,1.598,improved,Replace einsum with matmul
3,98000.0,1.836,improved,Optimize element-wise ops (in-place relu
4,63700.0,2.819,improved,"Pre-permute to [B,N,S,D] layout"
5,58800.0,3.054,improved,torch.where for relu mask
6,58500.0,3.057,no-change,
7,58500.0,3.054,no-change,
8,58500.0,3.054,no-change,
9,55700.0,3.207,improved,npu_linear for score and grad_q matmuls
10,54400.0,3.31,improved,"del score early + where(mask, grad_is, 0"
11,54400.0,3.31,failed,
12,54400.0,3.31,no-change,
13,50200.0,3.31,baseline,msprof profiling - detailed kernel break
14,77000.0,2.334,regression,
15,54400.0,3.31,no-change,
16,54400.0,3.31,no-change,
17,54400.0,3.31,no-change,
18,54400.0,3.31,no-change,
19,54400.0,3.31,no-change,
20,54400.0,3.31,no-change,
21,54400.0,3.31,no-change,
22,54400.0,3.31,baseline,"Parameter sweep (shapes, n_heads, head_d"
23,54400.0,3.31,no-change,
24,,,in-progress,
25,54400.0,3.31,no-change,
26,54400.0,3.31,no-change,
27,26400.0,,analysis,
28,,,analysis,
29,54400.0,3.31,no-change,
30,54400.0,3.31,no-change,
31,54400.0,3.31,no-change,
32,54400.0,3.31,no-change,
33,54400.0,3.31,no-change,
34,54400.0,3.31,no-change,
35,54400.0,3.31,no-change,
36,54400.0,3.31,no-change,
37,54400.0,3.31,no-change,
38,54400.0,3.31,no-change,
39,54400.0,3.31,no-change,
40,54400.0,3.31,no-change,
41,54400.0,3.31,no-change,
42,54400.0,3.31,no-change,
43,54400.0,3.31,no-change,
44,54400.0,3.31,no-change,
45,54400.0,3.31,no-change,
46,54400.0,3.31,regression,
47,,,in-progress,
48,,,in-progress,
49,,,in-progress,
50,,,in-progress,
51,54300.0,3.309,improved,"Hybrid: einsum for S_q<=4, npu_linear fo"
52,54300.0,3.309,no-change,
53,54300.0,3.309,no-change,
54,,,analysis,
55,54300.0,3.309,baseline,Reference timing verification
56,54300.0,3.309,no-change,
57,54300.0,3.309,no-change,
58,54300.0,3.309,no-change,
59,54300.0,3.309,no-change,
60,54300.0,3.309,no-change,
61,54300.0,3.309,no-change,
62,54300.0,3.309,no-change,
63,54300.0,3.309,no-change,
64,54300.0,3.309,no-change,
65,54300.0,3.309,no-change,
66,54300.0,3.309,baseline,Reference timing
67,54300.0,3.309,regression,
68,54300.0,3.309,no-change,
69,31700.0,,failed,
70,,,analysis,
71,,,analysis,
72,54300.0,3.309,no-change,
73,,,analysis,
74,,,analysis,
75,,,analysis,
76,54300.0,3.309,baseline,Reference timing (50.4ms)
77,54300.0,3.309,regression,
78,54300.0,3.309,no-change,
79,54300.0,3.309,no-change,
80,54300.0,3.309,no-change,
81,54300.0,3.309,no-change,
82,54300.0,3.309,no-change,
83,54300.0,3.309,no-change,
84,54300.0,3.309,no-change,
85,54300.0,3.309,no-change,
86,54300.0,3.309,baseline,Decode: einsum=0.3ms (optimal)
87,54300.0,3.309,no-change,
88,54300.0,3.309,no-change,
89,54300.0,3.309,baseline,Prefill: standard=50.4ms (reference)
90,54300.0,3.309,no-change,
91,54300.0,3.309,no-change,
92,54300.0,3.309,no-change,
93,54300.0,3.309,no-change,
94,54300.0,3.309,no-change,
95,54300.0,3.309,no-change,
96,54300.0,3.309,no-change,
97,54300.0,3.309,no-change,
98,54300.0,3.309,no-change,
99,54300.0,3.309,no-change,
100,54300.0,3.309,no-change,
101,54300.0,3.309,baseline,Reference (50.4ms)
102,,,regression,
103,54300.0,3.309,no-change,
104,54300.0,3.309,no-change,
109,54300.0,3.309,no-change,
110,54300.0,3.309,no-change,
111,,,failed,
112,,,skipped,
113,54300.0,3.309,no-change,
114,54300.0,3.309,analysis,
121,54300.0,3.309,baseline,Reference verification
122,,,skipped,
123,54300.0,3.309,no-change,
124,54300.0,3.309,no-change,
125,54300.0,3.309,regression,
126,54300.0,3.309,analysis,
136,54300.0,3.309,analysis,
141,54300.0,3.309,analysis,
146,54300.0,3.309,analysis,
151,,,analysis,
156,,,analysis,
161,,,analysis,
166,,,in-progress,
181,,,analysis,
191,54300.0,3.309,no-change,
