iter,runtime_us,speedup,status,label
1,,,failed,
2,20.82,1.86,improved,Matmul tiling parameter sweep (MDL + bas
3,21.0,1.86,no-change,
4,19.56,1.97,improved,Constant tiling (MatmulApiStaticTiling)
5,16.46,2.35,improved,UnitFlag (Cube + FixPipe parallel)
6,15.88,2.43,improved,L1 cache depth tuning (constant tiling)
7,18.5,,regression,
8,15.84,2.44,no-change,
9,4.84,7.98,improved,"Multi-core Matmul (N-split, 8 cores)"
10,4.52,8.55,improved,L1 depth tuning for 8-core (B full-load)
11,4.52,8.55,no-change,
12,4.54,8.51,no-change,
13,7.88,4.9,regression,
14,5.26,7.35,regression,
15,4.52,8.55,profiling,
16,4.58,8.44,no-change,
17,4.34,8.91,improved,16 cores + baseN=128 + host optimization
18,4.14,9.33,improved,enableStaticPadZeros + enableInit=false
19,4.14,9.33,no-change,
20,4.14,9.33,no-change,
21,4.14,9.33,failed,
22,8.2,4.71,regression,
23,4.42,9.33,profiling,
24,4.32,9.33,no-change,
25,1.0,,failed,
26,4.3,9.33,improved,Host -O3 + warmup + fine-grained timing
27,4.14,9.33,improved,Eliminate reorder + pair-based TopK
28,4.28,9.33,improved,Radix sort TopK
29,4.14,9.33,improved,3-pass radix + reorder/fused-D2H tests
30,4.44,9.33,improved,Eliminate H2D writeback + aclrtMemcpyAsy
31,4.14,9.33,no-change,
32,4.14,9.33,no-change,
33,,9.33,failed,
34,4.41,9.33,no-change,
35,4.36,9.33,no-change,
36,4.41,9.33,no-change,
37,4.41,9.33,profiling,
38,,,failed,
39,148.0,9.33,regression,
40,188.0,9.33,regression,
41,118.0,9.33,failed,
42,4.41,9.33,improved,"32-bit packed radix (key20:idx12), 2-pas"
43,4.41,9.33,no-change,
44,4.41,9.33,no-change,
45,4.41,9.33,no-change,
46,4.41,9.33,improved,2-head ILP in ReLU+weighted sum
47,4.41,9.33,no-change,
48,4.41,9.33,no-change,
49,4.41,9.33,profiling,
50,4.41,9.33,no-change,
51,128.0,9.33,regression,
52,118.0,9.33,no-change,
53,128.0,9.33,regression,
54,119.0,9.33,no-change,
55,128.0,9.33,regression,
56,126.0,9.33,regression,
57,125.0,9.33,no-change,
58,115.0,9.33,no-change,
59,115.0,9.33,no-change,
60,125.0,9.33,no-change,
61,148.0,9.33,no-change,
62,,,failed,
63,119.0,9.33,no-change,
64,128.0,9.33,regression,
65,117.0,9.33,no-change,
66,122.0,9.33,no-change,
67,120.0,9.33,no-change,
68,125.0,9.33,no-change,
69,127.0,9.33,no-change,
70,117.0,9.33,no-change,
71,122.0,9.33,no-change,
72,126.0,9.33,no-change,
73,109.0,9.33,failed,
74,117.0,9.33,no-change,
75,118.0,9.33,no-change,
76,118.0,9.33,no-change,
77,,,skipped,
78,116.0,9.33,no-change,
79,123.0,9.33,regression,
80,117.0,9.33,no-change,
81,132.0,9.33,no-change,
82,122.0,9.33,no-change,
83,123.0,9.33,no-change,
84,115.0,9.33,no-change,
85,122.0,9.33,no-change,
86,120.0,9.33,no-change,
87,114.0,9.33,no-change,
88,118.0,9.33,no-change,
89,118.0,9.33,no-change,
90,124.0,9.33,regression,
91,126.0,9.33,no-change,
92,126.0,9.33,no-change,
93,130.0,9.33,regression,
94,122.0,9.33,no-change,
95,,,failed,
96,120.0,9.33,no-change,
97,120.0,9.33,no-change,
98,120.0,9.33,no-change,
99,120.0,9.33,no-change,
100,120.0,9.33,no-change,
101,127.0,9.33,regression,
102,125.0,9.33,no-change,
103,125.0,9.33,no-change,
104,143.0,9.33,regression,
105,127.0,9.33,no-change,
106,127.0,9.33,no-change,
107,122.0,9.33,no-change,
108,123.0,9.33,no-change,
109,136.0,9.33,regression,
110,136.0,9.33,regression,
111,127.0,9.33,no-change,
112,129.0,9.33,no-change,
113,138.0,9.33,regression,
114,124.0,9.33,no-change,
115,124.0,9.33,no-change,
116,121.0,9.33,no-change,
117,121.0,9.33,no-change,
118,130.0,9.33,regression,
119,,,failed,
120,130.0,9.33,no-change,
121,156.0,9.33,no-change,
151,141.0,9.33,no-change,
161,136.0,9.33,no-change,
181,133.0,9.33,no-change,
191,131.0,9.33,no-change,
