iter,runtime_us,speedup,status,label
0,289.0,1.0,baseline,Baseline
1,288.0,3.83,improved,Merge B>1 batches into single matmul
2,289.0,1.02,no-change,
3,290.0,1.0,no-change,
4,20.0,1.0,no-change,
5,256.0,1.0,no-change,
6,128.0,1.0,no-change,
7,398.0,0.73,regression,
8,,,failed,
9,137.0,2.1,failed,
10,292.0,0.98,no-change,
11,289.0,1.0,no-change,
12,291.0,1.0,no-change,
13,288.0,1.0,no-change,
14,290.0,1.0,no-change,
15,296.0,0.97,regression,
16,2670.0,6.7,failed,
17,291.0,1.0,no-change,
18,291.0,1.0,no-change,
19,292.0,1.0,no-change,
20,,,failed,
21,128.0,1.0,no-change,
22,,1.0,no-change,
23,289.0,1.0,no-change,
24,,1.0,no-change,
25,290.0,1.0,no-change,
26,,1.0,no-change,
27,,1.0,no-change,
28,287.0,1.06,improved,SetSingleShape with aligned singleCoreN
29,4096.0,,no-change,
30,433.0,0.66,regression,
31,388.0,1.0,no-change,
32,387.0,1.0,no-change,
33,299.0,1.0,no-change,
34,,,failed,
35,381.0,1.0,no-change,
36,377.0,1.0,no-change,
37,383.0,1.0,no-change,
38,377.0,1.0,no-change,
39,379.0,1.0,no-change,
40,379.0,1.0,no-change,
41,377.0,1.0,no-change,
42,3.0,,failed,
43,381.0,1.0,no-change,
44,387.0,1.0,no-change,
45,399.0,0.95,regression,
46,296.0,2.0,no-change,
47,,1.0,no-change,
48,376.0,1.0,no-change,
49,384.0,1.0,no-change,
50,379.0,1.0,no-change,
51,,,failed,
52,429.0,0.67,regression,
53,286.0,1.0,no-change,
54,288.0,1.0,no-change,
55,287.0,1.0,no-change,
56,295.0,0.95,regression,
57,416.0,0.9,regression,
58,428.0,0.67,regression,
59,,,failed,
60,487.0,0.77,regression,
61,285.0,1.04,improved,L2 cache disable B+C only
62,284.0,1.15,improved,L2 cache disable B only ✓✓
63,352.0,1.06,no-change,
64,329.0,1.0,no-change,
65,334.0,1.0,no-change,
66,333.0,1.0,no-change,
67,328.0,1.0,no-change,
68,293.0,1.0,no-change,
69,342.0,0.96,regression,
70,327.0,1.0,no-change,
71,284.0,1.0,no-change,
72,293.0,1.0,no-change,
73,79.0,,profiling,
74,324.0,1.0,no-change,
75,327.0,1.0,no-change,
76,326.0,1.0,no-change,
77,326.0,1.0,no-change,
78,1.0,1.0,no-change,
79,284.0,1.01,improved,baseK=128 + L2 B-disable ✓
80,,,failed,
81,4352.0,1.0,no-change,
82,355.0,0.91,regression,
83,327.0,1.0,no-change,
84,330.0,1.0,no-change,
85,326.0,1.0,no-change,
86,4.0,,failed,
87,,,failed,
88,327.0,1.0,no-change,
89,2.0,,profiling,
90,2326.0,0.9,failed,
91,,1.0,no-change,
92,287.0,1.0,no-change,
96,4352.0,,failed,
100,285.0,1.0,no-change,
101,288.0,1.0,no-change,
102,,,failed,
103,16.0,,no-change,
107,286.0,1.0,no-change,
108,,,failed,
109,289.0,1.0,no-change,
110,1.0,1.0,no-change,
111,24.0,,failed,
115,288.0,1.0,no-change,
116,286.0,1.0,no-change,
117,287.0,1.0,no-change,
118,288.0,1.0,no-change,
121,,,failed,
122,286.0,1.0,no-change,
126,,1.0,no-change,
131,2.0,1.0,no-change,
136,,1.0,no-change,
141,1.0,1.07,failed,
142,131.0,,failed,
143,,,failed,
144,617.0,0.46,regression,
145,1.0,1.0,no-change,
146,1.0,0.91,regression,
147,565.0,0.58,regression,
148,364.0,0.89,regression,
149,3.0,,failed,
150,1.0,1.0,no-change,
151,1.0,1.0,no-change,
152,1.0,1.0,no-change,
153,2.0,,profiling,
154,278.0,,failed,
155,3.0,,failed,
156,1.0,0.71,regression,
157,1.0,0.71,regression,
161,406.0,0.7,regression,
162,256.0,,no-change,
166,395.0,,no-change,
171,288.0,1.0,no-change,
176,,1.0,no-change,
181,,1.0,no-change,
186,,1.0,no-change,
191,,1.0,no-change,
196,,1.0,no-change,
