iter,runtime_us,speedup,status,label
0,224.55,1.0,baseline,Baseline
1,224.59,1.0,no-change,
2,109.34,2.05,improved,IterateAll + separate LeakyRelu
3,100.32,2.24,improved,Double buffer LeakyRelu + larger tiles
4,101.12,2.22,no-change,
5,74.82,3.0,improved,FIRSTN traverse strategy
6,118.1,1.9,failed,
7,74.82,3.0,no-change,
8,75.62,2.97,reverted,
9,75.94,2.96,reverted,
10,96.14,2.34,reverted,
11,77.76,2.89,profile,
12,85.18,2.64,reverted,
13,,,failed,
14,205.85,1.09,failed,
15,52.0,4.32,failed,
16,,,failed,
17,,,failed,
18,73.64,3.05,failed,
19,48.7,4.61,failed,
20,77.46,2.9,failed,
21,134.59,1.67,failed,
22,54.16,4.15,improved,Strided LeakyRelu refactor
23,53.22,4.22,profile,
24,53.38,4.21,marginal,
25,54.08,4.15,no-change,
26,52.8,4.25,marginal (all top configs ~53us),
27,74.88,3.0,failed,
28,55.04,4.08,failed,
29,75.62,2.97,baseline,Variance test (10 runs)
30,71.94,3.12,see detailed log below,
144,73.3,3.07,no improvement,
194,72.36,3.1,no-change,
