iter,runtime_us,speedup,status,label
0,227.9,1.0,baseline,Baseline
1,235.8,0.97,regression,
2,229.2,0.99,no-change,
3,134.7,1.69,improved,Matmul to GM + separate LeakyRelu
4,133.4,1.71,improved,stepM=2 for L1 reuse
5,127.4,1.79,improved,FIRSTN traversal
6,131.3,1.74,regression,
7,123.2,1.85,improved,Tiling param sweep (72 configs)
8,121.0,1.88,improved,Remove HF32 + enable L1CacheUB
9,120.3,1.89,improved,Larger LeakyRelu chunk (44K) + stepM=1
10,105.4,,improved,Advanced config sweep (6 configs)
11,115.4,1.97,improved,TQue double-buffer LeakyRelu (8K chunks)
12,110.0,2.07,improved,Increase TQue chunk to 12K
13,,,failed,
14,111.5,2.04,regression,
15,113.9,2.0,regression,
16,110.1,2.07,no-change,
17,111.9,2.04,regression,
18,112.6,2.02,no-change,
19,113.7,2.0,no-change,
20,112.3,2.03,no-change,
21,,,failed,
22,115.5,1.97,regression,
23,,,failed,
24,,,failed,
25,117.7,1.94,regression,
26,,,failed,
27,111.8,2.04,no-change,
28,225.5,1.01,regression,
29,113.2,2.01,regression,
30,110.0,2.07,no-change,
31,,,failed,
32,133.0,,regression,
33,75.0,3.04,improved,IterateAll replaces Iterate+GetTensorC l
34,74.5,3.06,no-change,
35,,,failed,
36,76.1,3.0,regression,
37,77.8,2.93,regression,
38,74.5,3.07,no-change,
39,69.2,,reference,
40,,,failed,
41,74.2,3.07,no-change,
42,73.9,3.08,no-change,
43,,,failed,
44,,,failed,
45,74.0,3.08,no-change,
46,86.2,2.65,regression,
47,,,failed,
48,77.0,2.96,regression,
49,74.3,3.08,no-change,
50,75.0,3.04,no-change,
51,,,failed,
52,74.4,3.07,no-change,
53,74.0,3.08,no-change,
54,67.7,3.37,reference (incompatible interface),
55,74.0,3.09,no-change,
56,,,failed,
57,,,failed,
58,,,failed,
59,75.3,3.03,no-change,
60,,,failed,
61,65.0,,failed,
62,74.7,3.05,no-change,
63,109.6,2.08,regression,
64,73.2,3.11,no-change,
65,76.3,2.99,regression,
66,,,failed,
67,86.9,2.62,regression,
68,80.6,2.83,regression,
69,75.2,3.03,no-change,
70,75.4,3.03,no-change,
71,,,failed,
72,,,failed,
73,,,failed,
74,75.0,3.05,no-change,
75,75.0,3.05,no-change,
76,75.0,3.04,no-change,
77,82.0,2.8,regression,
78,76.0,3.0,no-change,
79,75.0,3.05,no-change,
80,77.0,3.0,regression,
81,75.0,3.02,no-change,
82,75.0,3.04,no-change,
83,,,failed,
84,75.0,3.05,no-change,
85,75.0,3.03,no-change,
86,75.0,3.05,no-change,
87,75.0,3.04,no-change,
88,75.0,3.05,no-change,
89,75.0,3.05,no-change,
90,75.0,3.05,no-change,
91,75.0,3.04,no-change,
92,,,failed,
93,,,failed,
94,,,failed,
95,75.0,3.05,no-change,
96,75.0,3.04,no-change,
97,75.0,3.05,failed,
98,75.0,3.05,failed,
99,,,failed,
100,75.0,3.05,no-change,
101,75.0,3.04,no-change,
102,,,failed,
103,75.0,3.04,no-change,
104,75.0,3.05,no-change,
105,75.0,3.05,regression,
106,75.0,3.05,regression,
107,75.0,3.04,no-change,
108,75.0,3.05,no-change,
109,75.0,3.05,no-change,
110,76.0,3.03,no-change,
111,75.0,3.04,no-change,
112,,,failed,
113,,,failed,
114,,,failed,
115,75.0,3.05,no-change,
116,,,failed,
117,75.0,3.05,no-change,
118,75.0,3.05,no-change,
119,,,failed,
120,,,failed,
121,75.0,3.05,no-change,
122,75.0,3.05,no-change,
123,75.0,3.04,no-change,
124,75.0,3.05,no-change,
125,75.0,3.05,no-change,
126,75.0,3.05,no-change,
127,75.0,3.04,no-change,
128,75.0,3.05,no-change,
129,75.0,3.05,no-change,
130,75.0,3.05,no-change,
131,75.0,3.05,no-change,
132,75.0,3.05,no-change,
133,75.0,3.05,no-change,
134,75.0,3.05,no-change,
135,75.0,3.04,no-change,
136,75.0,3.05,no-change,
137,75.0,3.05,no-change,
138,75.0,3.05,no-change,
139,75.0,3.05,no-change,
140,,,failed,
141,75.0,3.05,no-change,
142,,,failed,
143,,,failed,
144,,,failed,
145,75.0,3.05,no-change,
146,75.0,3.05,no-change,
147,75.0,3.04,no-change,
148,,,failed,
149,75.0,3.05,no-change,
150,74.0,3.08,no-change,
151,75.0,3.05,no-change,
152,75.0,3.05,no-change,
153,75.0,3.05,no-change,
154,75.0,3.05,no-change,
155,75.0,3.05,no-change,
156,75.0,3.05,no-change,
157,75.0,3.04,no-change,
158,75.0,3.04,no-change,
159,75.0,3.05,no-change,
160,75.0,3.05,no-change,
161,,,failed,
162,75.0,3.05,no-change,
163,75.0,3.04,no-change,
164,,,failed,
