iter,runtime_us,speedup,status,label
0,408.34,1.0,baseline,Baseline (single core)
1,,,failed,
2,,,failed,
3,,,failed,
4,21.6,18.9,improved,Two-pass: cube matmul + vector LeakyReLU
5,21.44,18.9,no-change,
6,22.88,17.8,regression,
7,20.6,19.8,improved,MixDualMaster + IBShare
8,20.6,19.8,no-change,
9,20.6,19.8,no-change,
10,21.58,18.9,regression,
11,21.78,18.8,regression,
12,,,failed,
13,20.86,19.5,profiling,
14,21.3,19.2,no-change,
15,20.74,19.7,improved,LeakyReLU larger UB chunks (23552 floats
16,,,failed,
17,22.1,18.4,regression,
18,,,failed,
19,21.6,18.9,no-change,
20,20.8,19.5,improved,FIRSTN traverse + FIRSTM traverse
21,20.8,19.6,improved,FIRSTM traverse (verified)
22,21.92,18.6,regression,
23,21.38,19.1,no-change,
24,21.38,19.3,improved,ConstantTiling + MatmulProblemShape
25,21.44,19.1,no-change,
25,19.98,20.4,improved,ConstantTiling launch-count=10 avg
26,22.08,18.5,regression,
27,22.62,17.9,regression,
28,20.82,19.6,no-change,
29,22.44,17.9,regression,
30,20.34,20.1,improved,Verify best (lc=10 avg)
31,,,failed,
32,20.34,19.6,no-change,
33,21.42,19.0,regression,
34,20.5,19.9,no-change,
35,20.72,19.7,no-change,
36,22.22,18.3,regression,
37,19.8,20.6,improved,Final verify best (lc=10 avg)
38,21.44,18.9,regression,
39,23.74,17.2,regression,
40,20.52,19.8,no-change,
41,21.4,19.0,regression,
42,21.54,18.9,no-change,
43,20.4,20.0,no-change,
44,20.5,19.9,profiling,
45,20.1,20.3,improved,CONFIG_NORM + depth/step L1 tuning
46,21.02,19.4,regression,
47,20.74,19.7,no-change,
48,20.0,20.0,improved,L1 depth/step parameter sweep
49,20.92,19.5,regression,
50,2.0,,failed,
51,21.0,19.5,regression,
52,20.6,20.0,no-change,
53,24.0,,failed,
54,20.64,19.8,regression,
55,20.0,20.0,improved,Hardcoded LeakyReLU tiling constants
56,20.4,20.0,no-change,
57,,,failed,
58,20.58,20.0,no-change,
59,21.42,19.1,regression,
60,20.4,20.0,no-change,
61,20.76,19.7,profiling,
62,,,failed,
63,21.0,19.4,regression,
64,20.18,20.0,no-change,
65,21.2,19.0,regression,
66,,,failed,
67,23.42,17.5,regression,
68,4.0,20.0,no-change,
69,21.04,20.0,no-change,
70,20.5,20.0,no-change,
71,20.5,,failed,
72,21.5,20.0,no-change,
73,96.0,20.0,no-change,
74,2.9,,failed,
74,20.27,20.0,no-change,
75,20.66,19.8,no-change,
76,21.04,19.4,regression,
77,21.2,19.3,no-change,
78,21.54,18.9,regression,
79,21.22,19.2,regression,
80,21.94,18.6,regression,
81,21.72,18.8,profiling,
82,23.0,17.7,regression,
83,4.0,20.0,no-change,
84,20.02,20.4,improved,"depthA1/depthB1 sweep (dA4,dB8 best)"
85,2.0,20.0,no-change,
86,17.7,23.1,improved,LeakyReLU __vector__ mode (eliminate cub
87,20.0,23.0,no-change,
88,16.0,23.0,no-change,
89,17.58,23.0,no-change,
90,17.68,23.0,no-change,
91,17.24,23.7,improved,Double buffer LeakyReLU in __vector__ mo
92,17.34,23.5,no-change,
93,16.8,24.3,improved,DB chunk sweep (4K-12K)
94,,,failed,
95,,,failed,
96,17.16,23.8,no-change,
97,17.0,24.0,improved,Triple buffer (bufNum=3) LeakyReLU
98,17.0,24.0,no-change,
99,17.0,24.0,no-change,
100,17.14,23.8,no-change,
101,17.18,24.0,no-change,
102,19.16,21.0,regression,
103,,,failed,
104,5.4,24.0,no-change,
105,16.48,24.8,improved,"fp16 intermediate: matmul→half, LeakyReL"
106,5440.0,24.8,no-change,
107,4.0,24.8,no-change,
108,4.94,24.8,no-change,
109,20.0,24.8,no-change,
110,5.52,23.0,regression,
111,4.9,24.8,no-change,
112,12.24,24.8,no-change,
113,16.86,24.2,no-change,
114,17.0,24.0,no-change,
115,16.9,24.0,no-change,
116,16.6,24.0,no-change,
117,16.49,24.8,improved,Remove calcBuf: Cast directly to outLoca
118,6144.0,25.0,no-change,
119,20.0,24.0,no-change,
120,4.0,24.0,no-change,
121,,24.0,no-change,
122,15.84,25.8,improved,Hardcode all matmul shapes (eliminate GM
123,,25.8,no-change,
124,16.3,24.0,regression,
125,,25.0,no-change,
126,,,profiling,
127,4.64,25.0,no-change,
128,,25.0,no-change,
129,16.18,25.0,no-change,
130,,,failed,
131,2.0,23.0,regression,
132,5.1,24.0,regression,
133,4.7,25.0,no-change,
134,3.0,25.0,no-change,
135,12.48,24.0,regression,
136,15.62,25.0,no-change,
137,,,failed,
138,15.74,25.0,no-change,
139,16.22,25.2,no-change,
140,15.86,25.0,no-change,
141,15.86,25.0,no-change,
142,15.52,25.0,no-change,
143,15.78,25.0,no-change,
144,16.7,25.0,no-change,
145,16.0,25.0,no-change,
146,16.86,24.0,no-change,
147,16.42,25.0,no-change,
148,16.08,25.0,no-change,
